DESC	FID	SAMPLETYPE	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG1	transcript34	Heart	2074.98	2074.98	2537.16	5128.24	2537.16	349345.0	1387.78	111.575
SIG1	transcript35	Heart	51753.7	1026.28	167.28	36.2663	4194.25	458.736	928.058	5128.24
SIG1	transcript36	Heart	6270.17	1534.61	40.2064	458.736	54.7067	29.4804	123.477	2294.47
SIG1	transcript37	Heart	2537.16	2294.47	458.736	686.226	458.736	1876.49	258411.0	18943.1
SIG1	transcript38	Heart	26.566	49.3802	10.1569	10.1569	40.2064	167.28	11.3365	0.105726
SIG1	transcript39	Heart	1387.78	82.2718	1254.99	7666.33	2074.98	100.811	44.563	4194.25
SIG1	transcript40	Heart	758.884	204.744	29.4804	14.083	5.10462	7.2528	54.7067	11.3365
SIG1	transcript41	Heart	1387.78	2805.51	54.7067	561.088	1876.49	839.224	49.3802	12.6408
SIG1	transcript42	Heart	44.563	306.552	458.736	123.477	507.343	561.088	0.494826	49.3802
SIG1	transcript43	Heart	561.088	4194.25	472279.0	315942.0	156341.0	638472.0	34621.6	2805.51
SIG1	transcript44	Heart	1534.61	620.515	561.088	2294.47	3430.33	44.563	1.47075	1876.49
SIG1	transcript45	Heart	4194.25	12672.1	11460.3	3793.11	4194.25	77363.4	6.46369	375.022
SIG1	transcript46	Heart	21.5465	67.1087	0.105726	4.52091	7.2528	9.09013	758.884	1.47075
SIG1	transcript47	Heart	2.3402	10.1569	0.105726	0.105726	0.0	3.5156	7.2528	2.69335
SIG1	transcript48	Heart	91.0759	91.0759	32.703	5.10462	29.4804	0.494826	5.10462	3.99302
SIG1	transcript49	Heart	561.088	226.497	23.9302	5.10462	44.563	19.3906	12.6408	19.3906
SIG1	transcript50	Heart	928.058	1876.49	21.5465	26.566	14.083	40.2064	11.3365	686.226
SIG1	transcript51	Heart	9.09013	40.2064	2.3402	5.10462	23.9302	49.3802	1.02085	36.2663
SIG1	transcript52	Heart	40.2064	60.5964	4.52091	4.52091	82.2718	5.10462	6.46369	6270.17
SIG1	transcript53	Heart	10364.4	306.552	185.071	3430.33	839.224	111.575	226.497	458.736
SIG1	transcript54	Heart	26.566	12.6408	6.46369	49.3802	151.189	5.10462	44.563	49.3802
SIG1	transcript55	Heart	17131.7	77363.4	11460.3	17131.7	3430.33	204.744	1876.49	839.224
SIG1	transcript56	Heart	29.4804	507.343	82.2718	8.12534	17.4409	91.0759	6.46369	0.827621
SIG1	transcript57	Heart	49.3802	49.3802	11460.3	5128.24	167.28	250.549	77363.4	38282.1
SIG1	transcript58	Heart	14.083	9.09013	204.744	15.6777	2.02082	375.022	507.343	151.189
SIG1	transcript59	Heart	151.189	339.068	51753.7	31311.1	561.088	6270.17	2537.16	151.189
SIG1	transcript60	Heart	1.47075	2.02082	49.3802	9.09013	0.827621	2.02082	0.222631	0.827621
SIG1	transcript61	Heart	32.703	375.022	928.058	1696.97	306.552	10364.4	758.884	19.3906
SIG1	transcript62	Heart	1134.89	46805.1	277.144	49.3802	185.071	1026.28	136.637	85542.8
SIG1	transcript63	Heart	0.105726	14.083	100.811	226.497	0.652869	226.497	185.071	23.9302
SIG1	transcript64	Heart	2074.98	123.477	51753.7	12672.1	1254.99	18943.1	12672.1	191147.0
SIG1	transcript65	Heart	1.47075	3.99302	1.23451	10.1569	29.4804	40.2064	100.811	2.69335
SIG1	transcript66	Heart	23.9302	4.52091	250.549	54.7067	21.5465	82.2718	32.703	0.827621
SIG1	transcript67	Heart	111.575	74.3096	4637.8	3793.11	20946.0	3793.11	5128.24	5670.54
SIG1	transcript68	Heart	91.0759	2294.47	40.2064	19.3906	1.23451	1.02085	54.7067	0.351895
SIG1	transcript69	Heart	1876.49	185.071	74.3096	339.068	32.703	32.703	375.022	151.189
SIG1	transcript70	Heart	26.566	15.6777	3.99302	23.9302	2.69335	5.75004	151.189	277.144
SIG1	transcript71	Heart	2294.47	36.2663	40.2064	12.6408	9.09013	21.5465	123.477	375.022
SIG1	transcript72	Heart	1.23451	21.5465	2.69335	111.575	12.6408	5.75004	0.222631	82.2718
SIG1	transcript73	Heart	1134.89	185.071	111.575	91.0759	306.552	74.3096	5128.24	458.736
SIG1	transcript74	Heart	12.6408	26.566	0.494826	0.351895	15.6777	1.73198	1.73198	3.5156
SIG1	transcript75	Heart	185.071	19.3906	60.5964	758.884	74.3096	136.637	0.105726	250.549
SIG1	transcript76	Heart	100.811	19.3906	0.827621	5.75004	3.08383	151.189	4.52091	7.2528
SIG1	transcript77	Heart	4194.25	458.736	1696.97	1134.89	40.2064	136.637	49.3802	928.058
SIG1	transcript78	Heart	507.343	1254.99	4194.25	620.515	31311.1	3430.33	758.884	277.144
SIG1	transcript79	Heart	9.09013	15.6777	14.083	60.5964	19.3906	44.563	1387.78	1534.61
SIG1	transcript80	Heart	306.552	507.343	11460.3	2294.47	12672.1	74.3096	23160.6	2537.16
SIG1	transcript81	Heart	3430.33	204.744	185.071	36.2663	100.811	8.12534	2294.47	10364.4
SIG1	transcript82	Heart	29.4804	29.4804	82.2718	67.1087	339.068	111.575	10.1569	3.99302
SIG1	transcript83	Heart	5.10462	4.52091	60.5964	277.144	339.068	123.477	561.088	0.222631
SIG1	transcript84	Heart	3793.11	5128.24	151.189	839.224	14.083	2074.98	306.552	0.222631
SIG1	transcript85	Heart	18943.1	1387.78	3793.11	5670.54	2805.51	250.549	4637.8	458.736
SIG1	transcript86	Heart	44.563	19.3906	9.09013	11.3365	9.09013	91.0759	11.3365	5.10462
SIG1	transcript87	Heart	2.69335	2.3402	17.4409	6.46369	32.703	36.2663	14.083	507.343
SIG1	transcript88	Heart	277.144	839.224	23.9302	40.2064	123.477	8.12534	1.47075	49.3802
SIG1	transcript89	Heart	82.2718	185.071	21.5465	6.46369	29.4804	26.566	1.47075	1.47075
SIG1	transcript90	Heart	1.47075	6.46369	0.0	5.75004	3.99302	12.6408	0.827621	1.73198
SIG1	transcript91	Heart	0.494826	14.083	0.494826	7.2528	0.0	2.69335	4.52091	0.222631
SIG1	transcript92	Heart	1.47075	2.02082	6.46369	82.2718	26.566	1.73198	11.3365	3.99302
SIG1	transcript93	Heart	0.105726	15.6777	1.02085	21.5465	1.23451	23.9302	49.3802	151.189
SIG1	transcript94	Heart	5670.54	5670.54	4637.8	3102.24	339.068	15493.5	7666.33	23160.6
SIG1	transcript95	Heart	204.744	375.022	1876.49	1026.28	226.497	111.575	2.02082	23.9302
SIG1	transcript96	Heart	111.575	100.811	839.224	1254.99	414.778	3102.24	1387.78	1026.28
SIG1	transcript97	Heart	21.5465	17.4409	19.3906	3.08383	49.3802	10.1569	136.637	9.09013
SIG1	transcript98	Heart	9.09013	91.0759	1534.61	2805.51	1134.89	758.884	1696.97	1876.49
SIG1	transcript99	Heart	6933.2	2294.47	1254.99	3102.24	5128.24	5670.54	2294.47	5128.24
SIG1	transcript100	Heart	375.022	6933.2	6933.2	1134.89	20946.0	94587.1	250.549	3793.11
SIG1	transcript101	Heart	1696.97	1696.97	8.12534	44.563	11.3365	136.637	1.23451	1876.49
SIG1	transcript102	Heart	1026.28	1254.99	250.549	507.343	2294.47	620.515	21.5465	167.28
SIG1	transcript103	Heart	2294.47	82.2718	226.497	2294.47	9373.31	14012.0	15493.5	306.552
SIG1	transcript104	Heart	339.068	11460.3	1387.78	414.778	507.343	758.884	507.343	1026.28
SIG1	transcript105	Heart	928.058	339.068	620.515	1876.49	28317.1	5670.54	3102.24	29.4804
SIG1	transcript106	Heart	21.5465	250.549	67.1087	23.9302	60.5964	414.778	111.575	561.088
SIG1	transcript107	Heart	1026.28	277.144	1876.49	1026.28	18943.1	928.058	34621.6	204.744
SIG1	transcript108	Heart	54.7067	60.5964	23.9302	82.2718	11.3365	3.08383	19.3906	3793.11
SIG1	transcript109	Heart	2074.98	10364.4	17131.7	46805.1	172870.0	57225.6	8.12534	15493.5
SIG1	transcript110	Heart	5128.24	2294.47	11460.3	3793.11	928.058	6933.2	2074.98	100.811
SIG1	transcript111	Heart	2537.16	1534.61	250.549	185.071	507.343	151.189	758.884	19.3906
SIG1	transcript112	Heart	375.022	67.1087	686.226	1387.78	82.2718	686.226	100.811	136.637
SIG1	transcript113	Heart	49.3802	49.3802	3430.33	2537.16	67.1087	123.477	25609.4	111.575
SIG1	transcript114	Heart	167.28	185.071	26.566	136.637	8476.97	1534.61	204.744	44.563
SIG1	transcript115	Heart	91.0759	414.778	928.058	620.515	339.068	375.022	151.189	36.2663
SIG1	transcript116	Heart	339.068	111.575	3793.11	2537.16	306.552	6270.17	561.088	4637.8
SIG1	transcript117	Heart	100.811	375.022	375.022	414.778	136.637	507.343	1534.61	507.343
SIG1	transcript118	Heart	44.563	49.3802	29.4804	14.083	21.5465	204.744	1387.78	339.068
SIG1	transcript119	Heart	250.549	758.884	2537.16	1696.97	758.884	91.0759	36.2663	375.022
SIG1	transcript120	Heart	12.6408	277.144	32.703	60.5964	32.703	100.811	375.022	91.0759
SIG1	transcript121	Heart	306.552	1254.99	226.497	686.226	185.071	3102.24	167.28	2537.16
SIG1	transcript122	Heart	12.6408	6.46369	0.222631	3.5156	0.494826	74.3096	8.12534	54.7067
SIG1	transcript123	Heart	19.3906	2.69335	123.477	74.3096	123.477	36.2663	1.73198	74.3096
SIG1	transcript124	Heart	507.343	91.0759	375.022	123.477	561.088	123.477	4194.25	15493.5
SIG1	transcript125	Heart	561.088	277.144	3.08383	0.0	3.99302	91.0759	44.563	2.3402
SIG1	transcript126	Heart	375.022	36.2663	57225.6	11460.3	127872.0	34621.6	1254.99	12672.1
SIG1	transcript127	Heart	4194.25	91.0759	49.3802	226.497	339.068	1876.49	4637.8	507.343
SIG1	transcript128	Heart	8.12534	620.515	10.1569	5.75004	507.343	250.549	507.343	507.343
SIG1	transcript129	Heart	15.6777	111.575	1.02085	14.083	1.23451	26.566	19.3906	1.02085
SIG1	transcript130	Heart	4637.8	82.2718	620.515	277.144	277.144	839.224	4194.25	2.69335
SIG1	transcript131	Heart	5128.24	3102.24	1387.78	1387.78	414.778	136.637	6933.2	151.189
SIG1	transcript132	Heart	15.6777	6.46369	2.3402	0.105726	1.47075	0.0	0.494826	8.12534
SIG1	transcript133	Heart	185.071	111.575	12.6408	17.4409	23.9302	17.4409	3.08383	5.75004
SIG1	transcript134	Heart	3102.24	5128.24	620.515	414.778	226.497	2805.51	104588.0	686.226
SIG1	transcript135	Heart	620.515	123.477	306.552	277.144	67.1087	60.5964	620.515	226.497
SIG1	transcript136	Heart	51753.7	285732.0	32.703	23.9302	204.744	74.3096	4637.8	151.189
SIG1	transcript137	Heart	0.494826	23.9302	7.2528	111.575	167.28	82.2718	36.2663	1696.97
SIG1	transcript138	Heart	167.28	839.224	42329.6	104588.0	258411.0	17131.7	375.022	1026.28
SIG1	transcript139	Heart	1254.99	10364.4	23160.6	25609.4	25609.4	3430.33	91.0759	928.058
SIG1	transcript140	Heart	2294.47	2537.16	25609.4	104588.0	11460.3	2537.16	1134.89	1254.99
SIG1	transcript141	Heart	3793.11	204.744	3102.24	8476.97	42329.6	5670.54	686.226	34621.6
SIG1	transcript142	Heart	100.811	32.703	2.02082	5.10462	26.566	1.73198	7.2528	32.703
SIG1	transcript143	Heart	0.0	1.47075	5.75004	100.811	54.7067	414.778	54.7067	23.9302
SIG1	transcript144	Heart	9.09013	0.105726	36.2663	19.3906	2.02082	23.9302	167.28	620.515
SIG1	transcript145	Heart	839.224	561.088	17131.7	8476.97	2537.16	3102.24	21.5465	458.736
SIG1	transcript146	Heart	204.744	12.6408	1696.97	458.736	2074.98	167.28	226.497	185.071
SIG1	transcript147	Heart	136.637	458.736	226.497	19.3906	29.4804	277.144	60.5964	15.6777
SIG1	transcript148	Heart	2294.47	3430.33	1.23451	7.2528	3.08383	29.4804	250.549	14.083
SIG1	transcript149	Heart	136.637	226.497	9373.31	2074.98	94587.1	1696.97	77363.4	3430.33
SIG1	transcript150	Heart	26.566	620.515	111.575	111.575	561.088	82.2718	21.5465	15.6777
SIG1	transcript151	Heart	277.144	339.068	123.477	250.549	306.552	11.3365	306.552	4194.25
SIG1	transcript152	Heart	928.058	339.068	11460.3	2074.98	2294.47	414.778	82.2718	1534.61
SIG1	transcript153	Heart	5670.54	11460.3	375.022	54.7067	686.226	40.2064	32.703	1534.61
SIG1	transcript154	Heart	250.549	458.736	111.575	1696.97	4194.25	11460.3	1696.97	458.736
SIG1	transcript155	Heart	0.0	14.083	74.3096	19.3906	19.3906	23.9302	40.2064	36.2663
SIG1	transcript156	Heart	226.497	29.4804	250.549	60.5964	44.563	123.477	0.222631	0.222631
SIG1	transcript157	Heart	111.575	375.022	4.52091	67.1087	507.343	2294.47	250.549	151.189
SIG1	transcript158	Heart	0.827621	15.6777	2.69335	0.222631	0.105726	14.083	0.652869	10.1569
SIG1	transcript159	Heart	185.071	839.224	11.3365	26.566	60.5964	82.2718	17.4409	6.46369
SIG1	transcript160	Heart	2.69335	1.73198	0.351895	0.222631	0.222631	67.1087	1876.49	74.3096
SIG1	transcript161	Heart	67.1087	14.083	0.652869	0.105726	1.02085	5.10462	0.351895	0.351895
SIG1	transcript162	Heart	507.343	3430.33	91.0759	100.811	54.7067	277.144	91.0759	686.226
SIG1	transcript163	Heart	49.3802	36.2663	12.6408	15.6777	277.144	204.744	12.6408	17.4409
SIG1	transcript164	Heart	458.736	1254.99	4194.25	277.144	1026.28	1254.99	4637.8	2805.51
SIG1	transcript165	Heart	19.3906	67.1087	26.566	6.46369	17.4409	6.46369	26.566	14.083
SIG1	transcript166	Heart	2.69335	2.69335	0.351895	0.827621	4.52091	10.1569	0.652869	458.736
SIG1	transcript167	Heart	928.058	2805.51	14012.0	17131.7	15493.5	2074.98	3102.24	5128.24
SIG1	transcript168	Heart	306.552	151.189	3793.11	458.736	2074.98	5670.54	3430.33	23160.6
SIG1	transcript169	Heart	507.343	306.552	14.083	306.552	250.549	507.343	458.736	1534.61
SIG1	transcript170	Heart	620.515	839.224	77363.4	17131.7	46805.1	5128.24	54.7067	7666.33
SIG1	transcript171	Heart	1876.49	74.3096	11460.3	8476.97	1387.78	172870.0	100.811	136.637
SIG1	transcript172	Heart	156341.0	6933.2	3102.24	2537.16	4637.8	38282.1	1134.89	172870.0
SIG1	transcript173	Heart	620.515	375.022	14.083	74.3096	7.2528	49.3802	1.23451	277.144
SIG1	transcript174	Heart	3.5156	23.9302	0.0	15.6777	0.0	15.6777	100.811	226.497
SIG1	transcript175	Heart	1134.89	82.2718	686.226	928.058	928.058	928.058	17131.7	8.12534
SIG1	transcript176	Heart	561.088	2805.51	26.566	1254.99	414.778	4194.25	5670.54	2074.98
SIG1	transcript177	Heart	0.827621	2.69335	19.3906	36.2663	3.99302	111.575	0.652869	136.637
SIG1	transcript178	Heart	0.0	7.2528	0.222631	1.23451	167.28	29.4804	21.5465	167.28
SIG1	transcript179	Heart	5.75004	226.497	151.189	277.144	123.477	458.736	758.884	1387.78
SIG1	transcript180	Heart	3102.24	1876.49	375.022	3102.24	9.09013	561.088	151.189	4637.8
SIG1	transcript181	Heart	111.575	3.08383	67.1087	21.5465	12.6408	8.12534	40.2064	60.5964
SIG1	transcript182	Heart	57225.6	3430.33	185.071	67.1087	561.088	12672.1	3430.33	12672.1
SIG1	transcript183	Heart	204.744	67.1087	111.575	3.99302	4.52091	185.071	1290260.0	49.3802
SIG1	transcript184	Heart	74.3096	1026.28	204.744	507.343	91.0759	1026.28	1696.97	32.703
SIG1	transcript185	Heart	85542.8	4637.8	17131.7	18943.1	4637.8	2805.51	2805.51	69966.0
SIG1	transcript186	Heart	17.4409	561.088	32.703	44.563	1876.49	226.497	561.088	339.068
SIG1	transcript187	Heart	191147.0	6933.2	10364.4	46805.1	34621.6	46805.1	34621.6	57225.6
SIG1	transcript188	Heart	1134.89	6270.17	375.022	620.515	67.1087	82.2718	2537.16	6270.17
SIG1	transcript189	Heart	1134.89	5128.24	3793.11	3102.24	339.068	1696.97	620.515	25609.4
SIG1	transcript190	Heart	5128.24	14012.0	2537.16	4194.25	507.343	9373.31	561.088	414.778
SIG1	transcript191	Heart	127872.0	28317.1	185.071	277.144	1254.99	349345.0	18943.1	8.12534
SIG1	transcript192	Heart	167.28	414.778	507.343	67.1087	5.10462	67.1087	561.088	8476.97
SIG1	transcript193	Heart	9373.31	1026.28	1387.78	1876.49	2805.51	839.224	1254.99	3793.11
SIG1	transcript194	Heart	1.02085	0.0	10.1569	2.02082	2.69335	3.99302	100.811	32.703
SIG1	transcript195	Heart	0.351895	0.105726	1.02085	0.827621	2.02082	0.652869	339.068	4.52091
SIG1	transcript196	Heart	620.515	1876.49	1696.97	136.637	928.058	2294.47	111.575	0.222631
SIG1	transcript197	Heart	3430.33	1134.89	14012.0	3430.33	375.022	136.637	1876.49	49.3802
SIG1	transcript198	Heart	123.477	1387.78	136.637	49.3802	839.224	375.022	375.022	2294.47
SIG1	transcript199	Heart	23.9302	49.3802	10.1569	49.3802	1.02085	111.575	74.3096	1.47075
SIG1	transcript200	Heart	250.549	17.4409	111.575	15.6777	414.778	277.144	67.1087	1134.89
SIG1	transcript201	Heart	57225.6	780615.0	31311.1	34621.6	427121.0	10364.4	31311.1	204.744
SIG1	transcript202	Heart	32.703	277.144	5.10462	0.652869	12.6408	339.068	2.69335	620.515
SIG1	transcript203	Heart	15.6777	204.744	26.566	49.3802	74.3096	60.5964	29.4804	4.52091
SIG1	transcript204	Heart	10.1569	1.23451	0.0	0.105726	0.105726	0.105726	1.47075	2.3402
SIG1	transcript205	Heart	5670.54	3430.33	8476.97	42329.6	2074.98	6270.17	1876.49	38282.1
SIG1	transcript206	Heart	1387.78	1026.28	21.5465	44.563	91.0759	29.4804	36.2663	839.224
SIG1	transcript207	Heart	375.022	49.3802	18943.1	9373.31	1026.28	561.088	123.477	6270.17
SIG1	transcript208	Heart	2294.47	3102.24	4194.25	1254.99	414.778	6270.17	507.343	1876.49
SIG1	transcript209	Heart	44.563	74.3096	12.6408	29.4804	40.2064	0.105726	2.3402	0.0
SIG1	transcript210	Heart	4.52091	74.3096	12.6408	3.08383	11.3365	54.7067	2.3402	74.3096
SIG1	transcript211	Heart	8476.97	6933.2	14012.0	17131.7	507.343	2537.16	1534.61	104588.0
SIG1	transcript212	Heart	15.6777	74.3096	4637.8	414.778	111.575	0.494826	11.3365	839.224
SIG1	transcript213	Heart	472279.0	115645.0	91.0759	226.497	561.088	25609.4	414.778	42329.6
SIG1	transcript214	Heart	111.575	44.563	2294.47	1534.61	1876.49	1696.97	250.549	0.105726
SIG1	transcript215	Heart	17.4409	21.5465	12.6408	17.4409	9.09013	23.9302	36.2663	250.549
SIG1	transcript216	Heart	1.02085	19.3906	0.0	0.652869	0.652869	3.99302	15.6777	0.494826
SIG1	transcript217	Heart	2805.51	4194.25	2294.47	9373.31	1534.61	3102.24	2074.98	40.2064
SIG1	transcript218	Heart	1696.97	306.552	2074.98	111.575	758.884	839.224	507.343	38282.1
SIG1	transcript219	Heart	12.6408	67.1087	758.884	620.515	2074.98	620.515	21.5465	8476.97
SIG1	transcript220	Heart	14.083	1.02085	1.02085	3.5156	0.494826	0.0	0.351895	29.4804
SIG1	transcript221	Heart	115645.0	85542.8	20946.0	10364.4	3793.11	23160.6	1387.78	3430.33
SIG1	transcript222	Heart	10364.4	2537.16	3793.11	1696.97	1696.97	2074.98	100.811	561.088
SIG1	transcript223	Heart	5670.54	7666.33	5128.24	8476.97	1026.28	23160.6	3102.24	2074.98
SIG1	transcript224	Heart	11460.3	3793.11	5670.54	2537.16	1026.28	758.884	14012.0	5670.54
SIG1	transcript225	Heart	54.7067	204.744	1254.99	3430.33	226.497	686.226	686.226	8.12534
SIG1	transcript226	Heart	8.12534	0.105726	9.09013	4.52091	32.703	36.2663	14.083	19.3906
SIG1	transcript227	Heart	23.9302	2.3402	21.5465	67.1087	36.2663	26.566	306.552	82.2718
SIG1	transcript228	Heart	0.105726	2.02082	2.02082	8.12534	17.4409	91.0759	100.811	0.494826
SIG1	transcript229	Heart	1876.49	2294.47	2074.98	758.884	277.144	60.5964	3793.11	339.068
SIG1	transcript230	Heart	686.226	250.549	2074.98	1254.99	458.736	100.811	28317.1	5.10462
SIG1	transcript231	Heart	191147.0	14012.0	141392.0	51753.7	104588.0	427121.0	472279.0	123.477
SIG1	transcript232	Heart	4.52091	44.563	277.144	136.637	136.637	306.552	226.497	2805.51
SIG1	transcript233	Heart	2.69335	0.494826	0.827621	2.69335	1.73198	0.222631	3.08383	74.3096
SIG1	transcript234	Heart	63275.9	127872.0	758.884	2294.47	375.022	928.058	42329.6	277.144
SIG1	transcript235	Heart	2.3402	1.02085	10.1569	82.2718	8.12534	14.083	82.2718	11.3365
SIG1	transcript236	Heart	74.3096	123.477	23.9302	91.0759	74.3096	4.52091	1254.99	9373.31
SIG1	transcript237	Heart	167.28	226.497	38282.1	127872.0	85542.8	2294.47	507.343	1026.28
SIG1	transcript238	Heart	38282.1	12672.1	136.637	277.144	226.497	10364.4	1026.28	17131.7
SIG1	transcript239	Heart	3430.33	3430.33	6933.2	2537.16	226.497	686.226	277.144	226.497
SIG1	transcript240	Heart	306.552	277.144	226.497	839.224	561.088	1876.49	226.497	5128.24
SIG1	transcript241	Heart	136.637	4194.25	339.068	620.515	226.497	339.068	561.088	2294.47
SIG1	transcript242	Heart	26.566	0.827621	226.497	21.5465	185.071	0.222631	0.827621	4.52091
SIG1	transcript243	Heart	5.75004	2.3402	21.5465	19.3906	5.10462	6.46369	136.637	82.2718
SIG1	transcript244	Heart	2.3402	2.3402	0.494826	1.73198	11.3365	2.02082	0.827621	2.3402
SIG1	transcript245	Heart	91.0759	44.563	7.2528	3.99302	12.6408	5.75004	2.69335	60.5964
SIG1	transcript246	Heart	226.497	100.811	204.744	67.1087	928.058	686.226	1254.99	14.083
SIG1	transcript247	Heart	19.3906	204.744	60.5964	40.2064	10.1569	4637.8	1696.97	0.0
SIG1	transcript248	Heart	7666.33	5128.24	36.2663	91.0759	250.549	1876.49	15493.5	1534.61
SIG1	transcript249	Heart	758.884	44.563	5670.54	3102.24	620.515	111.575	123.477	2294.47
SIG1	transcript250	Heart	2074.98	375.022	5.10462	17.4409	23.9302	226.497	4.52091	21.5465
SIG1	transcript251	Heart	167.28	458.736	82.2718	375.022	123.477	74.3096	2.02082	32.703
SIG1	transcript252	Heart	3102.24	620.515	8476.97	12672.1	226.497	349345.0	250.549	277.144
SIG1	transcript253	Heart	0.494826	0.222631	29.4804	0.494826	0.105726	3.5156	0.0	0.0
SIG1	transcript254	Heart	21.5465	40.2064	123.477	306.552	1876.49	458.736	6933.2	4194.25
SIG1	transcript255	Heart	1876.49	226.497	51753.7	34621.6	104588.0	277.144	9373.31	1387.78
SIG1	transcript256	Heart	2294.47	6270.17	3102.24	42329.6	7666.33	2074.98	686.226	1.47075
SIG1	transcript257	Heart	306.552	6933.2	250.549	167.28	15493.5	2294.47	40.2064	1387.78
SIG1	transcript258	Heart	758.884	375.022	375.022	3430.33	928.058	3793.11	8476.97	82.2718
SIG1	transcript259	Heart	32.703	11.3365	5.10462	123.477	2537.16	26.566	29.4804	4.52091
SIG1	transcript260	Heart	26.566	91.0759	15.6777	29.4804	7666.33	40.2064	111.575	226.497
SIG1	transcript261	Heart	67.1087	82.2718	1.02085	0.222631	9.09013	17.4409	0.351895	339.068
SIG1	transcript262	Heart	339.068	2074.98	19.3906	32.703	204.744	620.515	204.744	204.744
SIG1	transcript263	Heart	4194.25	12672.1	1534.61	1026.28	1696.97	3102.24	14012.0	21.5465
SIG1	transcript264	Heart	11.3365	19.3906	3.99302	9.09013	4.52091	414.778	6.46369	12.6408
SIG1	transcript265	Heart	250.549	686.226	136.637	19.3906	100.811	74.3096	1.02085	49.3802
SIG1	transcript266	Heart	0.652869	29.4804	1026.28	1876.49	5128.24	2074.98	277.144	339.068
SIG1	transcript267	Heart	277.144	136.637	8.12534	0.222631	6.46369	250.549	28317.1	1696.97
SIG1	transcript268	Heart	758.884	277.144	472279.0	104588.0	77363.4	115645.0	7666.33	1026.28
SIG1	transcript269	Heart	3.08383	1.02085	5.75004	0.0	1.47075	2.3402	23.9302	277.144
