# Simulated data set created 2025-05-29 14:12 (500 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: (((A<1>,B<2>)<7>,C<3>)<6>,D<4>)<5>
# Sigma2: 0.5,1.0,1.5,3.0,3.5,2.0,2.5
DESC	GENE_ID	A	B	C	D
SIG1	transcript64	29496.6	76608.4	8365.02	552.417
SIG1	transcript65	0.250128	31.5299	14.5276	2.019
SIG1	transcript66	1.28682	1.85751	11.5649	3.1065
SIG1	transcript67	287.382	104.534	355.223	472.312
SIG1	transcript68	2183.83	21.4859	9.75284	785.737
SIG1	transcript69	47.3315	3.99377	194.097	347.478
SIG1	transcript70	57.8862	152.738	71.7681	2.10396
SIG1	transcript71	2.45639	1.1005	7.40612	2.42161
SIG1	transcript72	151.173	414.128	2561.94	144.012
SIG1	transcript73	5.4926	32.8357	4.99025	6.97934
SIG1	transcript74	48.4518	9.26927	25.5723	0.283334
SIG1	transcript75	42.2161	62.5454	68.6863	2.7522
SIG1	transcript76	0.621263	56.2748	1.73358	105.071
SIG1	transcript77	9.34561	17.4865	312.318	5.0271
SIG1	transcript78	200.537	44.9634	240.813	453481
SIG1	transcript79	10.4732	39.2165	221.612	48.0474
SIG1	transcript80	14431.8	2649.54	1208.03	104.754
SIG1	transcript81	614.164	30.9099	138.541	39.2619
SIG1	transcript82	272.087	1242.9	651.31	16.3827
SIG1	transcript83	41.5344	658.999	15.5606	14278.6
SIG1	transcript84	1097.37	26600.7	1603.34	1716.17
SIG1	transcript85	57.4582	25.4384	0.571436	0.589627
SIG1	transcript86	55.7863	57.865	8.20754	0.411212
SIG1	transcript87	1703.92	475.427	3977.73	5.42031
SIG1	transcript88	77.1001	11.8837	11.0135	49.3979
SIG1	transcript89	17.9856	53.6991	220.929	15.7716
SIG1	transcript90	0.517379	2.9969	8.54888	3.56949
SIG1	transcript91	2305.76	3146.28	54.7456	0.80245
SIG1	transcript92	50712.5	104921	2264.29	1106.09
SIG1	transcript93	648.978	19317.7	1764.98	7.18755
SIG1	transcript94	24602.8	15167.1	13111.1	12.9465
SIG1	transcript95	6122.38	2465.14	24682.1	4168.66
SIG1	transcript96	0.172927	2.21105	90.6812	12.9774
SIG1	transcript97	17.9094	0.411446	64.8403	156748
SIG1	transcript98	121.566	528.707	11706.1	16.5273
SIG1	transcript99	4514.76	2411.5	65292.9	1163.44
SIG1	transcript100	11.825	25.2459	2.4693	63.1091
SIG1	transcript101	160.761	439.472	80.4733	16.9653
SIG1	transcript102	3914.45	587.336	989.474	2658.85
SIG1	transcript103	323.786	15454.8	1828.08	58.3387
SIG1	transcript104	406.106	424.763	1284.1	22.4543
SIG1	transcript105	0.122727	3.02738	1.92177	0.954437
SIG1	transcript106	973.864	952.994	1027.18	76.2789
SIG1	transcript107	81.7757	130.839	290.041	5939.61
SIG1	transcript108	44.3083	125.828	111.606	462.899
SIG1	transcript109	7317.22	113425	132245	1594.04
SIG1	transcript110	2680.95	2501.76	48.3127	5301.72
SIG1	transcript111	228.105	47.3527	256.615	130742
SIG1	transcript112	20.2111	0.642246	142.069	25436.8
SIG1	transcript113	313.908	2341.71	320.392	21.9095
SIG1	transcript114	4.37408	0.888001	37.4535	1531.74
SIG1	transcript115	9.88253	2.84504	5.99439	2.70347
SIG1	transcript116	1.71944	6.30125	0.816431	2.9327
SIG1	transcript117	23199.8	4262.88	11611	26729.3
SIG1	transcript118	5.66237	79.9027	31.1483	0.18894
SIG1	transcript119	167.054	1130.61	16.2398	1622.01
SIG1	transcript120	145.185	40.7215	5.50707	663.042
SIG1	transcript121	79.0118	200.138	242.135	24.3446
SIG1	transcript122	14.3308	64.8042	45.6255	11.9101
SIG1	transcript123	68.6966	114.798	17.1565	3.28595
SIG1	transcript124	335.928	755.801	74.0589	1725.08
SIG1	transcript125	16.027	35.4871	19.5101	134.2
SIG1	transcript126	3408.38	2622.73	2279.6	69.5557
SIG1	transcript127	866.946	504.496	1239	135.468
SIG1	transcript128	7.22804	34.7605	2437.16	362.896
SIG1	transcript129	24597.7	1268.29	3234.95	15.3073
SIG1	transcript130	7547.47	4327.34	49.2067	174921
SIG1	transcript131	23.4841	7.22088	9.30153	9559.68
SIG1	transcript132	1601.06	20.5681	85.4711	1.60522
SIG1	transcript133	2.17766	3.81177	8.08661	28.1392
SIG1	transcript134	576.228	3779.74	8947.97	5.50095
SIG1	transcript135	18146.1	230.672	34881.3	78041.8
SIG1	transcript136	0.410728	14.8864	0.827569	90.5976
SIG1	transcript137	1014.73	49.5868	858.384	2.03364
SIG1	transcript138	318.432	13.1071	761.297	812.596
SIG1	transcript139	118.058	477.528	8404.24	475.617
SIG1	transcript140	33.7101	39.7643	426.455	74.4795
SIG1	transcript141	423.925	1913.35	6.4237	151.665
SIG1	transcript142	194.908	143.594	30.3056	513.76
SIG1	transcript143	386.158	81.2103	10.66	781.145
SIG1	transcript144	0.789196	3.70472	43.0409	0.0670791
SIG1	transcript145	261.431	144.545	136.767	230.032
SIG1	transcript146	40.1311	174.761	77.3163	619.298
SIG1	transcript147	147.691	640.956	108448	3.10452
SIG1	transcript148	171.111	25.7233	146.598	0.831027
SIG1	transcript149	411.224	4805.15	67.2484	17066.2
SIG1	transcript150	6.88493	80.4606	1.08816	2.47816
SIG1	transcript151	12564.8	605.915	239487	14.7961
SIG1	transcript152	6.52494	26.1441	4.46727	0.0397484
SIG1	transcript153	55.3995	16.7732	70.8088	11.7
SIG1	transcript154	1.84955	7.4443	31.3503	2.96151
SIG1	transcript155	916.085	9423.26	1829.53	164.7
SIG1	transcript156	34.0306	41.9906	0.494687	13.401
SIG1	transcript157	514.755	11629.2	51441.9	1185.19
SIG1	transcript158	102.184	518.98	1.2084	560.027
SIG1	transcript159	4.38153	0.912243	1.12286	8.87975
SIG1	transcript160	2880.88	149.677	765.643	219.739
SIG1	transcript161	16.6651	12.142	83.2679	69.7167
SIG1	transcript162	5315.85	1430.28	1602.98	887.616
SIG1	transcript163	3857.86	1851.91	1746.79	2659.32
SIG1	transcript164	6295.77	6464.68	59.5541	34801
SIG1	transcript165	94.1543	52.2878	139.7	1.97704
SIG1	transcript166	52.9239	16.9863	560.84	0.413989
SIG1	transcript167	0.84875	2.81293	72.2681	0.399717
SIG1	transcript168	162.112	81.8062	883.315	15614.7
SIG1	transcript169	22397	58135.4	136976	172.177
SIG1	transcript170	18.6515	1.25894	13.2503	2.48546
SIG1	transcript171	626.65	916.993	510.475	47943.6
SIG1	transcript172	183.11	1396.27	178971	630.327
SIG1	transcript173	1.2042	63.4917	17.3136	17.1597
SIG1	transcript174	376.622	108.107	1.69776	23.8984
SIG1	transcript175	21091.6	953.033	41013.5	406.596
SIG1	transcript176	16.4489	49.2056	14.0984	1.06254
SIG1	transcript177	4216.01	443.658	8262.99	1.21176
SIG1	transcript178	35.5574	0.334603	778.116	40.0221
SIG1	transcript179	1764.65	2760.36	3203.19	243.857
SIG1	transcript180	80.1859	32.5735	36.198	2608.86
SIG1	transcript181	8.17065	23.1754	2.59626	0.64035
SIG1	transcript182	43.2219	10.8171	376.439	41.4342
SIG1	transcript183	2.8449	8.74853	2.15286	7.89091
SIG1	transcript184	21044.4	13.7528	3511.69	9168.92
SIG1	transcript185	79.6577	19.2574	2535.18	7580.58
SIG1	transcript186	1.55306	4.18077	96.8582	143.913
SIG1	transcript187	2029.13	437.101	709.08	3150.15
SIG1	transcript188	5481.69	4857.58	1696.93	5333.31
SIG1	transcript189	42.0012	12.2989	83.4109	982.572
SIG1	transcript190	132.971	11.9422	492.077	33.7321
SIG1	transcript191	489.917	332.548	1.4766	5.83782
SIG1	transcript192	19892.4	6009.89	13738.1	559.083
SIG1	transcript193	23.0223	33.3208	3.34698	25319.2
SIG1	transcript194	10117.3	1278.75	3032.05	392.918
SIG1	transcript195	15.8829	334.017	4.76943	142.344
SIG1	transcript196	3.93545	26.5606	24.7974	192.625
SIG1	transcript197	50.34	1644.58	169.632	3169.17
SIG1	transcript198	0.0610553	1.50576	4.41818	10.2699
SIG1	transcript199	15.2898	1.08888	5.75309	12.5369
SIG1	transcript200	42.4094	2135.09	103.603	1085.07
SIG1	transcript201	417.142	875.691	5204.45	373.579
SIG1	transcript202	36.1938	19.5389	92.7341	108.759
SIG1	transcript203	4.5482	56.4813	2.58872	4.3866
SIG1	transcript204	35.4957	28.581	17.3566	205.967
SIG1	transcript205	22.7193	5.00784	0.0610027	5.24365
SIG1	transcript206	673.303	4378.1	16934.2	519.339
SIG1	transcript207	7919.98	1929.66	889.778	1957.32
SIG1	transcript208	172.332	34.4721	662.179	663.122
SIG1	transcript209	23.459	20.4944	7.49291	5.84346
SIG1	transcript210	2.3327	0.91087	220.711	4.16243
SIG1	transcript211	334.666	286.367	268.962	1.92459
SIG1	transcript212	8.74407	78.9509	0.0302684	1.71391
SIG1	transcript213	7019.96	208.783	11691.9	18189.3
SIG1	transcript214	5.42715	0.948431	0.220514	97.8606
SIG1	transcript215	345.211	807.086	74.3842	9859.02
SIG1	transcript216	5.08487	106.286	6.06384	7.1106
SIG1	transcript217	2437.55	3036.84	751.858	32.7642
SIG1	transcript218	316.631	23.4213	25.8397	837.769
SIG1	transcript219	425.506	36555.9	597.803	5561.74
SIG1	transcript220	2669.51	307.469	126.462	5185.91
SIG1	transcript221	206.933	3.6256	237.608	2166.88
SIG1	transcript222	641.992	754.397	5274.53	36.9788
SIG1	transcript223	5051.23	539.606	79.4647	103.501
SIG1	transcript224	57.2092	29.227	99.4211	18112.8
SIG1	transcript225	7677.69	29036.4	2487.9	5423.65
SIG1	transcript226	269.183	659.084	63.222	59.6977
SIG1	transcript227	72.9421	1808.11	655.816	140.055
SIG1	transcript228	45.0778	7.75288	19.7259	628.195
SIG1	transcript229	6231.93	28694	435.771	1501.85
SIG1	transcript230	27.1572	4.49668	4.44589	525.383
SIG1	transcript231	335.301	1134.68	76.9535	11.4951
SIG1	transcript232	27.9745	4.15004	35.0656	44.6218
SIG1	transcript233	267.466	18.117	1736.03	155.395
SIG1	transcript234	11.7803	222.311	0.954619	1906.86
SIG1	transcript235	2011.39	2420.19	412.857	649.233
SIG1	transcript236	11.1146	10.5091	563.201	0.924069
SIG1	transcript237	1479.61	3368.41	1005.98	129.542
SIG1	transcript238	5421.25	948.35	2179.24	1095.24
SIG1	transcript239	209.06	111.033	173096	2217.22
SIG1	transcript240	1.26048	2.2399	239.284	3.26463
SIG1	transcript241	1713.43	663.499	27412	371.88
SIG1	transcript242	102.259	648.652	9.94425	35501.4
SIG1	transcript243	144.785	513.011	12037.8	3.5171
SIG1	transcript244	226.795	25.72	4.36312	7.53077
SIG1	transcript245	370698	411263	25587.4	5.2776e+06
SIG1	transcript246	2.07202	5.68838	12.8437	0.0619447
SIG1	transcript247	3.34065	0.192216	0.0051197	26.8015
SIG1	transcript248	74.4541	273.541	65.0295	747174
SIG1	transcript249	0.0475438	6.68622	4.66166	59.615
SIG1	transcript250	228.834	13.7431	4.16693	54.2361
SIG1	transcript251	557201	1.67285e+06	1599.2	681.607
SIG1	transcript252	592.304	4297.74	2322.1	1.06023
SIG1	transcript253	269.322	71.1238	5.98048	15.4263
SIG1	transcript254	703.843	160.37	8924.05	1489.98
SIG1	transcript255	71.0225	2860.42	34330.8	6349.43
SIG1	transcript256	407.83	46.2519	1389.05	38.7712
SIG1	transcript257	2292.43	4937.81	12.0913	76.8944
SIG1	transcript258	2.08006	0.823387	0.731302	0.197115
SIG1	transcript259	47.1651	379.754	0.198877	214943
SIG1	transcript260	86.4997	13.5129	1.26652	31.5598
SIG1	transcript261	1876.79	20.576	2150.73	35.7078
SIG1	transcript262	17.906	17.2814	1906.18	6.36663
SIG1	transcript263	11601.3	2164.06	2506.77	869.409
SIG1	transcript264	62.3578	42.2633	1.83836	1.19818
SIG1	transcript265	87.3211	295.031	47.3629	1036.58
SIG1	transcript266	759.124	8415.97	75.285	22506.2
SIG1	transcript267	1.88556	61.8742	4.39699	265.491
SIG1	transcript268	57.9214	26.3715	42.737	239.647
SIG1	transcript269	0.403074	0.318461	2.02776	4935.02
SIG1	transcript270	0.405365	1.30161	75.8717	223.075
SIG1	transcript271	167.646	98.3705	27.7233	4245.98
SIG1	transcript272	127.432	6.28699	578.011	1220.79
SIG1	transcript273	129.063	280.045	35.8579	346.9
SIG1	transcript274	78.0621	46.7456	227.808	1.00523
SIG1	transcript275	0.640507	24.8994	24.9796	1.88747
SIG1	transcript276	17.9367	0.159016	4.86753	15.4941
SIG1	transcript277	226.187	299.589	83.858	1122.82
SIG1	transcript278	85.4241	18.5925	1012.42	714.609
SIG1	transcript279	1502.69	2984.98	19964	6.08915
SIG1	transcript280	5.95176	0.0665228	0.0932544	27.5887
SIG1	transcript281	105.818	322.411	1709.02	27.5595
SIG1	transcript282	42.9792	91.4273	7.78106	110.869
SIG1	transcript283	43.8807	45.6031	6.87456	3.94375
SIG1	transcript284	8074.08	2321.5	2090.46	5789.07
SIG1	transcript285	45.8127	48.9418	3.9369	513.018
SIG1	transcript286	8293.83	41245.8	12918.6	1774.14
SIG1	transcript287	53.5474	350.388	7852.95	271.277
SIG1	transcript288	26.2739	8.75462	2474.15	155.902
SIG1	transcript289	900.717	446.816	44.1307	416.863
SIG1	transcript290	62.7113	8.77452	1.13235	118.327
SIG1	transcript291	15.4106	9.23916	23.1914	43.7113
SIG1	transcript292	0.192551	0.124611	135.87	0.103925
SIG1	transcript293	293.058	80.5071	549.69	9289.22
SIG1	transcript294	1.99266	0.219493	2.75993	60.1425
SIG1	transcript295	1108.62	355.922	4260.48	74.3564
SIG1	transcript296	1.11999	7.19858	3.56087	9.02254
SIG1	transcript297	658.014	5640.69	389.271	532.345
SIG1	transcript298	51.4599	138.265	14.1387	514523
SIG1	transcript299	85.4089	18.0989	347.637	7213.88
SIG1	transcript300	3.71566	0.020374	64.5471	3.64659
SIG1	transcript301	8139.2	170.233	30.9224	106806
SIG1	transcript302	31.1387	260.381	0.713455	1.48125
SIG1	transcript303	452.833	1.95515	139.887	2619.83
SIG1	transcript304	1211.74	2461.84	13.4221	2110.94
SIG1	transcript305	41.0113	316.369	85.1801	175.294
SIG1	transcript306	31.59	3.16317	16.0442	0.997246
SIG1	transcript307	3738.09	120.928	49277.9	1286.99
SIG1	transcript308	4.32877	60.4392	6.58326	2482.84
SIG1	transcript309	1324.4	6409.05	1602.39	11.9747
SIG1	transcript310	48.0798	16.1051	0.466135	2.93994
SIG1	transcript311	3192.71	4094.34	5348.91	71.4466
SIG1	transcript312	739.635	2198.12	29164.7	4091.14
SIG1	transcript313	124.274	6.08808	132.696	3623.82
SIG1	transcript314	129.091	653.082	1332.24	0.435678
SIG1	transcript315	444.655	22.3141	29.6102	1.75201
SIG1	transcript316	133.284	329.306	21313.5	13.1168
SIG1	transcript317	1.83311	4.04392	7.27868	0.677058
SIG1	transcript318	153.07	59.1799	141.034	5.95024
SIG1	transcript319	102.992	1.5023	665.152	15025.3
SIG1	transcript320	1.40959	6.05685	3.02832	2.13244
SIG1	transcript321	17329.4	11915.5	1024.31	34.0533
SIG1	transcript322	66.1499	34.3069	13.2624	24.6581
SIG1	transcript323	7.31609	26.9207	21.1674	664.155
SIG1	transcript324	255.315	549.05	50.1347	3732.85
SIG1	transcript325	96.1521	502.169	84.1108	79.4316
SIG1	transcript326	28374.5	21897.1	32114.9	1208.14
SIG1	transcript327	19.3885	20.5117	13.2862	2.58564
SIG1	transcript328	2050.92	5004.77	4246.27	42114.4
SIG1	transcript329	65.2284	9.44826	25.4752	84.9486
SIG1	transcript330	1644.85	24476.9	832.055	1338.38
SIG1	transcript331	0.624522	9.07567	1.42885	22.7961
SIG1	transcript332	406.393	50.0357	1644.95	523.581
SIG1	transcript333	1.23654	0.678812	0.211821	4.48903
SIG1	transcript334	50.4685	158.171	162.542	3.93189
SIG1	transcript335	448.551	10031.1	11.2248	5.69111
SIG1	transcript336	44204.2	7.05256e+06	8310.7	5922.73
SIG1	transcript337	2.71027	2.68557	0.766221	61.4708
SIG1	transcript338	158.593	726.649	720.56	309611
SIG1	transcript339	32747.3	7205.54	3550.15	4210.5
SIG1	transcript340	1392.57	108.21	460.721	535961
SIG1	transcript341	3.88755	0.143165	62.8106	0.129122
SIG1	transcript342	48.7076	0.63668	415.103	1667.71
SIG1	transcript343	2181.8	3033.81	47.851	592.42
SIG1	transcript344	7015.13	277.964	6988.19	626.404
SIG1	transcript345	1033.83	1666.99	174.416	36.91
SIG1	transcript346	3.81131	12.5821	82.467	88.2278
SIG1	transcript347	0.0701236	0.46182	0.0127189	15.3302
SIG1	transcript348	212.629	174.35	1620.26	8136.85
SIG1	transcript349	527.333	509.553	14661	20.5821
SIG1	transcript350	115.524	11.7078	19469.9	50939.6
SIG1	transcript351	1.13467	32.9691	1.32458	468.482
SIG1	transcript352	54.9284	112.351	0.476708	8.49327
SIG1	transcript353	5.3993	6.55429	13.9766	39.1697
SIG1	transcript354	35.7668	65.5915	6.56819	339.446
SIG1	transcript355	3.02854	6.01415	142.441	422.331
SIG1	transcript356	17.5393	4.61606	76.8447	67.604
SIG1	transcript357	685.18	1764.44	19.7971	0.03261
SIG1	transcript358	484.494	2546.49	46.5409	825.261
SIG1	transcript359	0.712294	0.799511	11.0051	1.59288
SIG1	transcript360	4.8724	1.11575	8.92615	51.0101
SIG1	transcript361	6689.35	623.876	721.702	724.534
SIG1	transcript362	1.1234	0.992629	48.1401	98.0194
SIG1	transcript363	66716.1	152200	2.98075e+06	476.178
SIG1	transcript364	45.3154	0.633088	11.416	37538.6
SIG1	transcript365	0.0194355	21.0786	1.83495	11.6814
SIG1	transcript366	36.1811	13.8547	0.899036	4040.35
SIG1	transcript367	742.907	156.688	1952.87	19.7838
SIG1	transcript368	50.4108	20.3871	46.8915	2543.95
SIG1	transcript369	51.9755	6.92815	314.534	182.487
SIG1	transcript370	71.3392	43.9192	125.465	329.796
SIG1	transcript371	7411.6	47510	99.1162	188.725
SIG1	transcript372	107.642	1358.51	0.586176	74.8558
SIG1	transcript373	663.637	6293.32	43.2654	4.53414
SIG1	transcript374	365.81	39.7216	418.739	7020.18
SIG1	transcript375	33362	69502.3	1407.73	1327.03
SIG1	transcript376	29187.5	340518	584.388	12.0058
SIG1	transcript377	712.918	25.2364	25.0906	586.597
SIG1	transcript378	486.324	3067.06	1505.17	193.747
SIG1	transcript379	8.91671	0.19561	2.71513	11.8849
SIG1	transcript380	30.1641	18.974	317689	27015.2
SIG1	transcript381	12.642	2.29392	19.7148	359.382
SIG1	transcript382	10801.9	366.335	50819.5	2953.91
SIG1	transcript383	0.166764	2.98132	13.5302	0.149713
SIG1	transcript384	97.3762	20.0145	135.473	3.10345
SIG1	transcript385	0.527971	108.284	0.998506	1026.75
SIG1	transcript386	1098.25	4156.87	253.748	15.4718
SIG1	transcript387	21.6306	29.133	7.3833	91.4067
SIG1	transcript388	142.347	190.388	7.1026	296.849
SIG1	transcript389	4673.18	39707	15424.9	1.98945
SIG1	transcript390	267.66	322.932	59.2113	19947.1
SIG1	transcript391	9810.19	13906	1068.33	116896
SIG1	transcript392	29.4179	624.564	3735.71	116.136
SIG1	transcript393	0.36787	0.705393	0.0535335	2.60464
SIG1	transcript394	6.86987	25.0519	10.039	1939.31
SIG1	transcript395	143.513	12.5243	2000.11	156.165
SIG1	transcript396	3.38893	152.675	201.253	5332.95
SIG1	transcript397	365.182	3160.52	43.4516	221.589
SIG1	transcript398	88.6078	161.203	248.682	3413.38
SIG1	transcript399	653.057	209.294	3.28724	3837.88
SIG1	transcript400	74.9588	158.933	2.10668	103.176
SIG1	transcript401	49.7747	907.783	13338.5	2193.91
SIG1	transcript402	6.87237	43.7467	95.8761	0.312475
SIG1	transcript403	22.2361	26.6158	15.3473	828.801
SIG1	transcript404	469.584	733.345	1153.17	203.515
SIG1	transcript405	7.74866	2.99816	14.0776	29.8074
SIG1	transcript406	10.914	0.551025	6.53893	72.2676
SIG1	transcript407	1264.1	1062.61	1559.18	187.916
SIG1	transcript408	637.458	361.827	8971.87	77.7655
SIG1	transcript409	530.25	13195.1	83.4602	8848.28
SIG1	transcript410	0.323628	2.80677	0.452414	89.9235
SIG1	transcript411	0.284018	2.20331	21.6645	0.024282
SIG1	transcript412	16439.7	53538	64370.6	127766
SIG1	transcript413	1301.02	2424.95	875.376	17.8218
SIG1	transcript414	146.086	19.3735	29.0409	295.154
SIG1	transcript415	252.58	69.5609	7.89857	722.868
SIG1	transcript416	0.799865	20.4114	7.15163	0.0321966
SIG1	transcript417	11127.5	3646.95	28733	13.3018
SIG1	transcript418	52.231	79.1926	44.7821	5.46574
SIG1	transcript419	490.063	1095.39	176.546	1708.02
SIG1	transcript420	43.3802	242.993	4.27442	96.026
SIG1	transcript421	38.0915	327.171	15.7303	3648.77
SIG1	transcript422	74.894	2.84292	138.171	5.3367
SIG1	transcript423	60.8883	11.9801	901.062	46.6123
SIG1	transcript424	6.7642	0.2946	1.18084	0.654724
SIG1	transcript425	851.671	464.103	3809.91	13871.2
SIG1	transcript426	18801.8	29188	1331.3	300.724
SIG1	transcript427	49.7478	74.3364	17.5567	895.2
SIG1	transcript428	28.4078	273.995	182.014	107.284
SIG1	transcript429	0.0924125	47.233	0.162448	1.19271
SIG1	transcript430	140.758	840.234	38.6465	4.86822
SIG1	transcript431	7406.72	14886.3	5074.91	2306.45
SIG1	transcript432	5.37426	5.30158	1.35784	16.7924
SIG1	transcript433	46.3414	72.0773	149.714	14060.5
SIG1	transcript434	61932.1	1568.26	10121.8	2458.5
SIG1	transcript435	35.926	207.055	2883.56	119.71
SIG1	transcript436	89.3659	478.612	938.846	23.9999
SIG1	transcript437	514.443	2187.14	430645	667.718
SIG1	transcript438	18.6823	195.806	77.3576	172.776
SIG1	transcript439	728.236	51.3168	590.038	135.662
SIG1	transcript440	260.603	16575.3	48.8561	27.5654
SIG1	transcript441	769.692	112.541	322.956	977.306
SIG1	transcript442	1.42399	4.43119	0.237355	64.5873
SIG1	transcript443	945.613	20.0146	2826.81	72.5261
SIG1	transcript444	172.159	16997.5	104.949	199.566
SIG1	transcript445	291.59	760.056	236.444	561.75
SIG1	transcript446	33.9451	11.3721	0.293948	91.4635
SIG1	transcript447	125.801	130.812	1020.25	89.1433
SIG1	transcript448	3.83939	0.613755	3.67108	17.2623
SIG1	transcript449	14.5317	25.2927	18.2246	1138.68
SIG1	transcript450	435.913	16.6871	8469.54	1.67995
SIG1	transcript451	11.2098	3.60267	2.50607	11852.1
SIG1	transcript452	2.49843	6.63115	3.9916	745.467
SIG1	transcript453	176.391	346.439	0.590232	29.4123
SIG1	transcript454	1374.25	50963.8	7702.23	512.596
SIG1	transcript455	0.725625	6.1486	1.58993	25.9476
SIG1	transcript456	5445.54	6920.33	2737.32	3657.68
SIG1	transcript457	43.7081	160.209	31.435	1.26898
SIG1	transcript458	59.1685	43.8027	1344.33	164.078
SIG1	transcript459	52488.8	20437.3	26844.7	8500.9
SIG1	transcript460	3981.38	83179.9	8125.13	1226.23
SIG1	transcript461	513.223	4301.44	17.273	5196.98
SIG1	transcript462	370.61	484.826	571.315	137.823
SIG1	transcript463	15688.1	245931	910.132	32.9988
SIG1	transcript464	158.215	7.88135	479.859	1.10836
SIG1	transcript465	52.5816	138.266	0.278129	0.114612
SIG1	transcript466	3769.26	808.134	1461.19	20.4115
SIG1	transcript467	2999.92	358.311	1188.97	10.3156
SIG1	transcript468	672.921	846.471	22.9808	15.5779
SIG1	transcript469	1641.28	1774.01	3225.68	138604
SIG1	transcript470	139.641	464.359	138.178	4.01192
SIG1	transcript471	552.971	956.72	246.543	7.14306
SIG1	transcript472	5656.02	30467.4	252.186	4943.05
SIG1	transcript473	0.108622	0.125954	3.91559	2.64137
SIG1	transcript474	2063.41	4177.2	7197.13	119.567
SIG1	transcript475	1123.62	113.685	33.1507	585.977
SIG1	transcript476	10.4277	13.8554	205.881	1.47934
