# Simulated data set created 2022-07-27 16:08 (1000 transcripts)
# Root distribution: gamma:0.375:1600.0
# Tree: ((((sp1<1>,sp2<2>)<12>,(((sp3<3>,sp4<4>)<15>,sp5<5>)<14>,sp6<6>)<13>)<11>,sp7<7>)<10>,sp8<8>)<9>
# Sigma: 1
DESC	FID	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8
SIG1	transcript105	928.058	339.068	620.515	1876.49	28317.1	5670.54	3102.24	29.4804
SIG1	transcript106	21.5465	250.549	67.1087	23.9302	60.5964	414.778	111.575	561.088
SIG1	transcript107	1026.28	277.144	1876.49	1026.28	18943.1	928.058	34621.6	204.744
SIG1	transcript108	54.7067	60.5964	23.9302	82.2718	11.3365	3.08383	19.3906	3793.11
SIG1	transcript109	2074.98	10364.4	17131.7	46805.1	172870	57225.6	8.12534	15493.5
SIG1	transcript110	5128.24	2294.47	11460.3	3793.11	928.058	6933.2	2074.98	100.811
SIG1	transcript111	2537.16	1534.61	250.549	185.071	507.343	151.189	758.884	19.3906
SIG1	transcript112	375.022	67.1087	686.226	1387.78	82.2718	686.226	100.811	136.637
SIG1	transcript113	49.3802	49.3802	3430.33	2537.16	67.1087	123.477	25609.4	111.575
SIG1	transcript114	167.28	185.071	26.566	136.637	8476.97	1534.61	204.744	44.563
SIG1	transcript115	91.0759	414.778	928.058	620.515	339.068	375.022	151.189	36.2663
SIG1	transcript116	339.068	111.575	3793.11	2537.16	306.552	6270.17	561.088	4637.8
SIG1	transcript117	100.811	375.022	375.022	414.778	136.637	507.343	1534.61	507.343
SIG1	transcript118	44.563	49.3802	29.4804	14.083	21.5465	204.744	1387.78	339.068
SIG1	transcript119	250.549	758.884	2537.16	1696.97	758.884	91.0759	36.2663	375.022
SIG1	transcript120	12.6408	277.144	32.703	60.5964	32.703	100.811	375.022	91.0759
SIG1	transcript121	306.552	1254.99	226.497	686.226	185.071	3102.24	167.28	2537.16
SIG1	transcript122	12.6408	6.46369	0.222631	3.5156	0.494826	74.3096	8.12534	54.7067
SIG1	transcript123	19.3906	2.69335	123.477	74.3096	123.477	36.2663	1.73198	74.3096
SIG1	transcript124	507.343	91.0759	375.022	123.477	561.088	123.477	4194.25	15493.5
SIG1	transcript125	561.088	277.144	3.08383	0	3.99302	91.0759	44.563	2.3402
SIG1	transcript126	375.022	36.2663	57225.6	11460.3	127872	34621.6	1254.99	12672.1
SIG1	transcript127	4194.25	91.0759	49.3802	226.497	339.068	1876.49	4637.8	507.343
SIG1	transcript128	8.12534	620.515	10.1569	5.75004	507.343	250.549	507.343	507.343
SIG1	transcript129	15.6777	111.575	1.02085	14.083	1.23451	26.566	19.3906	1.02085
SIG1	transcript130	4637.8	82.2718	620.515	277.144	277.144	839.224	4194.25	2.69335
SIG1	transcript131	5128.24	3102.24	1387.78	1387.78	414.778	136.637	6933.2	151.189
SIG1	transcript132	15.6777	6.46369	2.3402	0.105726	1.47075	0	0.494826	8.12534
SIG1	transcript133	185.071	111.575	12.6408	17.4409	23.9302	17.4409	3.08383	5.75004
SIG1	transcript134	3102.24	5128.24	620.515	414.778	226.497	2805.51	104588	686.226
SIG1	transcript135	620.515	123.477	306.552	277.144	67.1087	60.5964	620.515	226.497
SIG1	transcript136	51753.7	285732	32.703	23.9302	204.744	74.3096	4637.8	151.189
SIG1	transcript137	0.494826	23.9302	7.2528	111.575	167.28	82.2718	36.2663	1696.97
SIG1	transcript138	167.28	839.224	42329.6	104588	258411	17131.7	375.022	1026.28
SIG1	transcript139	1254.99	10364.4	23160.6	25609.4	25609.4	3430.33	91.0759	928.058
SIG1	transcript140	2294.47	2537.16	25609.4	104588	11460.3	2537.16	1134.89	1254.99
SIG1	transcript141	3793.11	204.744	3102.24	8476.97	42329.6	5670.54	686.226	34621.6
SIG1	transcript142	100.811	32.703	2.02082	5.10462	26.566	1.73198	7.2528	32.703
SIG1	transcript143	0	1.47075	5.75004	100.811	54.7067	414.778	54.7067	23.9302
SIG1	transcript144	9.09013	0.105726	36.2663	19.3906	2.02082	23.9302	167.28	620.515
SIG1	transcript145	839.224	561.088	17131.7	8476.97	2537.16	3102.24	21.5465	458.736
SIG1	transcript146	204.744	12.6408	1696.97	458.736	2074.98	167.28	226.497	185.071
SIG1	transcript147	136.637	458.736	226.497	19.3906	29.4804	277.144	60.5964	15.6777
SIG1	transcript148	2294.47	3430.33	1.23451	7.2528	3.08383	29.4804	250.549	14.083
SIG1	transcript149	136.637	226.497	9373.31	2074.98	94587.1	1696.97	77363.4	3430.33
SIG1	transcript150	26.566	620.515	111.575	111.575	561.088	82.2718	21.5465	15.6777
SIG1	transcript151	277.144	339.068	123.477	250.549	306.552	11.3365	306.552	4194.25
SIG1	transcript152	928.058	339.068	11460.3	2074.98	2294.47	414.778	82.2718	1534.61
SIG1	transcript153	5670.54	11460.3	375.022	54.7067	686.226	40.2064	32.703	1534.61
SIG1	transcript154	250.549	458.736	111.575	1696.97	4194.25	11460.3	1696.97	458.736
SIG1	transcript155	0	14.083	74.3096	19.3906	19.3906	23.9302	40.2064	36.2663
SIG1	transcript156	226.497	29.4804	250.549	60.5964	44.563	123.477	0.222631	0.222631
SIG1	transcript157	111.575	375.022	4.52091	67.1087	507.343	2294.47	250.549	151.189
SIG1	transcript158	0.827621	15.6777	2.69335	0.222631	0.105726	14.083	0.652869	10.1569
SIG1	transcript159	185.071	839.224	11.3365	26.566	60.5964	82.2718	17.4409	6.46369
SIG1	transcript160	2.69335	1.73198	0.351895	0.222631	0.222631	67.1087	1876.49	74.3096
SIG1	transcript161	67.1087	14.083	0.652869	0.105726	1.02085	5.10462	0.351895	0.351895
SIG1	transcript162	507.343	3430.33	91.0759	100.811	54.7067	277.144	91.0759	686.226
SIG1	transcript163	49.3802	36.2663	12.6408	15.6777	277.144	204.744	12.6408	17.4409
SIG1	transcript164	458.736	1254.99	4194.25	277.144	1026.28	1254.99	4637.8	2805.51
SIG1	transcript165	19.3906	67.1087	26.566	6.46369	17.4409	6.46369	26.566	14.083
SIG1	transcript166	2.69335	2.69335	0.351895	0.827621	4.52091	10.1569	0.652869	458.736
SIG1	transcript167	928.058	2805.51	14012	17131.7	15493.5	2074.98	3102.24	5128.24
SIG1	transcript168	306.552	151.189	3793.11	458.736	2074.98	5670.54	3430.33	23160.6
SIG1	transcript169	507.343	306.552	14.083	306.552	250.549	507.343	458.736	1534.61
SIG1	transcript170	620.515	839.224	77363.4	17131.7	46805.1	5128.24	54.7067	7666.33
SIG1	transcript171	1876.49	74.3096	11460.3	8476.97	1387.78	172870	100.811	136.637
SIG1	transcript172	156341	6933.2	3102.24	2537.16	4637.8	38282.1	1134.89	172870
SIG1	transcript173	620.515	375.022	14.083	74.3096	7.2528	49.3802	1.23451	277.144
SIG1	transcript174	3.5156	23.9302	0	15.6777	0	15.6777	100.811	226.497
SIG1	transcript175	1134.89	82.2718	686.226	928.058	928.058	928.058	17131.7	8.12534
SIG1	transcript176	561.088	2805.51	26.566	1254.99	414.778	4194.25	5670.54	2074.98
SIG1	transcript177	0.827621	2.69335	19.3906	36.2663	3.99302	111.575	0.652869	136.637
SIG1	transcript178	0	7.2528	0.222631	1.23451	167.28	29.4804	21.5465	167.28
SIG1	transcript179	5.75004	226.497	151.189	277.144	123.477	458.736	758.884	1387.78
SIG1	transcript180	3102.24	1876.49	375.022	3102.24	9.09013	561.088	151.189	4637.8
SIG1	transcript181	111.575	3.08383	67.1087	21.5465	12.6408	8.12534	40.2064	60.5964
SIG1	transcript182	57225.6	3430.33	185.071	67.1087	561.088	12672.1	3430.33	12672.1
SIG1	transcript183	204.744	67.1087	111.575	3.99302	4.52091	185.071	1.29026e+06	49.3802
SIG1	transcript184	74.3096	1026.28	204.744	507.343	91.0759	1026.28	1696.97	32.703
SIG1	transcript185	85542.8	4637.8	17131.7	18943.1	4637.8	2805.51	2805.51	69966
SIG1	transcript186	17.4409	561.088	32.703	44.563	1876.49	226.497	561.088	339.068
SIG1	transcript187	191147	6933.2	10364.4	46805.1	34621.6	46805.1	34621.6	57225.6
SIG1	transcript188	1134.89	6270.17	375.022	620.515	67.1087	82.2718	2537.16	6270.17
SIG1	transcript189	1134.89	5128.24	3793.11	3102.24	339.068	1696.97	620.515	25609.4
SIG1	transcript190	5128.24	14012	2537.16	4194.25	507.343	9373.31	561.088	414.778
SIG1	transcript191	127872	28317.1	185.071	277.144	1254.99	349345	18943.1	8.12534
SIG1	transcript192	167.28	414.778	507.343	67.1087	5.10462	67.1087	561.088	8476.97
SIG1	transcript193	9373.31	1026.28	1387.78	1876.49	2805.51	839.224	1254.99	3793.11
SIG1	transcript194	1.02085	0	10.1569	2.02082	2.69335	3.99302	100.811	32.703
SIG1	transcript195	0.351895	0.105726	1.02085	0.827621	2.02082	0.652869	339.068	4.52091
SIG1	transcript196	620.515	1876.49	1696.97	136.637	928.058	2294.47	111.575	0.222631
SIG1	transcript197	3430.33	1134.89	14012	3430.33	375.022	136.637	1876.49	49.3802
SIG1	transcript198	123.477	1387.78	136.637	49.3802	839.224	375.022	375.022	2294.47
SIG1	transcript199	23.9302	49.3802	10.1569	49.3802	1.02085	111.575	74.3096	1.47075
SIG1	transcript200	250.549	17.4409	111.575	15.6777	414.778	277.144	67.1087	1134.89
SIG1	transcript201	57225.6	780615	31311.1	34621.6	427121	10364.4	31311.1	204.744
SIG1	transcript202	32.703	277.144	5.10462	0.652869	12.6408	339.068	2.69335	620.515
SIG1	transcript203	15.6777	204.744	26.566	49.3802	74.3096	60.5964	29.4804	4.52091
SIG1	transcript204	10.1569	1.23451	0	0.105726	0.105726	0.105726	1.47075	2.3402
SIG1	transcript205	5670.54	3430.33	8476.97	42329.6	2074.98	6270.17	1876.49	38282.1
SIG1	transcript206	1387.78	1026.28	21.5465	44.563	91.0759	29.4804	36.2663	839.224
SIG1	transcript207	375.022	49.3802	18943.1	9373.31	1026.28	561.088	123.477	6270.17
SIG1	transcript208	2294.47	3102.24	4194.25	1254.99	414.778	6270.17	507.343	1876.49
SIG1	transcript209	44.563	74.3096	12.6408	29.4804	40.2064	0.105726	2.3402	0
SIG1	transcript210	4.52091	74.3096	12.6408	3.08383	11.3365	54.7067	2.3402	74.3096
SIG1	transcript211	8476.97	6933.2	14012	17131.7	507.343	2537.16	1534.61	104588
SIG1	transcript212	15.6777	74.3096	4637.8	414.778	111.575	0.494826	11.3365	839.224
SIG1	transcript213	472279	115645	91.0759	226.497	561.088	25609.4	414.778	42329.6
SIG1	transcript214	111.575	44.563	2294.47	1534.61	1876.49	1696.97	250.549	0.105726
SIG1	transcript215	17.4409	21.5465	12.6408	17.4409	9.09013	23.9302	36.2663	250.549
SIG1	transcript216	1.02085	19.3906	0	0.652869	0.652869	3.99302	15.6777	0.494826
SIG1	transcript217	2805.51	4194.25	2294.47	9373.31	1534.61	3102.24	2074.98	40.2064
SIG1	transcript218	1696.97	306.552	2074.98	111.575	758.884	839.224	507.343	38282.1
SIG1	transcript219	12.6408	67.1087	758.884	620.515	2074.98	620.515	21.5465	8476.97
SIG1	transcript220	14.083	1.02085	1.02085	3.5156	0.494826	0	0.351895	29.4804
SIG1	transcript221	115645	85542.8	20946	10364.4	3793.11	23160.6	1387.78	3430.33
SIG1	transcript222	10364.4	2537.16	3793.11	1696.97	1696.97	2074.98	100.811	561.088
SIG1	transcript223	5670.54	7666.33	5128.24	8476.97	1026.28	23160.6	3102.24	2074.98
SIG1	transcript224	11460.3	3793.11	5670.54	2537.16	1026.28	758.884	14012	5670.54
SIG1	transcript225	54.7067	204.744	1254.99	3430.33	226.497	686.226	686.226	8.12534
SIG1	transcript226	8.12534	0.105726	9.09013	4.52091	32.703	36.2663	14.083	19.3906
SIG1	transcript227	23.9302	2.3402	21.5465	67.1087	36.2663	26.566	306.552	82.2718
SIG1	transcript228	0.105726	2.02082	2.02082	8.12534	17.4409	91.0759	100.811	0.494826
SIG1	transcript229	1876.49	2294.47	2074.98	758.884	277.144	60.5964	3793.11	339.068
SIG1	transcript230	686.226	250.549	2074.98	1254.99	458.736	100.811	28317.1	5.10462
SIG1	transcript231	191147	14012	141392	51753.7	104588	427121	472279	123.477
SIG1	transcript232	4.52091	44.563	277.144	136.637	136.637	306.552	226.497	2805.51
SIG1	transcript233	2.69335	0.494826	0.827621	2.69335	1.73198	0.222631	3.08383	74.3096
SIG1	transcript234	63275.9	127872	758.884	2294.47	375.022	928.058	42329.6	277.144
SIG1	transcript235	2.3402	1.02085	10.1569	82.2718	8.12534	14.083	82.2718	11.3365
SIG1	transcript236	74.3096	123.477	23.9302	91.0759	74.3096	4.52091	1254.99	9373.31
SIG1	transcript237	167.28	226.497	38282.1	127872	85542.8	2294.47	507.343	1026.28
SIG1	transcript238	38282.1	12672.1	136.637	277.144	226.497	10364.4	1026.28	17131.7
SIG1	transcript239	3430.33	3430.33	6933.2	2537.16	226.497	686.226	277.144	226.497
SIG1	transcript240	306.552	277.144	226.497	839.224	561.088	1876.49	226.497	5128.24
SIG1	transcript241	136.637	4194.25	339.068	620.515	226.497	339.068	561.088	2294.47
SIG1	transcript242	26.566	0.827621	226.497	21.5465	185.071	0.222631	0.827621	4.52091
SIG1	transcript243	5.75004	2.3402	21.5465	19.3906	5.10462	6.46369	136.637	82.2718
SIG1	transcript244	2.3402	2.3402	0.494826	1.73198	11.3365	2.02082	0.827621	2.3402
SIG1	transcript245	91.0759	44.563	7.2528	3.99302	12.6408	5.75004	2.69335	60.5964
SIG1	transcript246	226.497	100.811	204.744	67.1087	928.058	686.226	1254.99	14.083
SIG1	transcript247	19.3906	204.744	60.5964	40.2064	10.1569	4637.8	1696.97	0
SIG1	transcript248	7666.33	5128.24	36.2663	91.0759	250.549	1876.49	15493.5	1534.61
SIG1	transcript249	758.884	44.563	5670.54	3102.24	620.515	111.575	123.477	2294.47
SIG1	transcript250	2074.98	375.022	5.10462	17.4409	23.9302	226.497	4.52091	21.5465
SIG1	transcript251	167.28	458.736	82.2718	375.022	123.477	74.3096	2.02082	32.703
SIG1	transcript252	3102.24	620.515	8476.97	12672.1	226.497	349345	250.549	277.144
SIG1	transcript253	0.494826	0.222631	29.4804	0.494826	0.105726	3.5156	0	0
SIG1	transcript254	21.5465	40.2064	123.477	306.552	1876.49	458.736	6933.2	4194.25
SIG1	transcript255	1876.49	226.497	51753.7	34621.6	104588	277.144	9373.31	1387.78
SIG1	transcript256	2294.47	6270.17	3102.24	42329.6	7666.33	2074.98	686.226	1.47075
SIG1	transcript257	306.552	6933.2	250.549	167.28	15493.5	2294.47	40.2064	1387.78
SIG1	transcript258	758.884	375.022	375.022	3430.33	928.058	3793.11	8476.97	82.2718
SIG1	transcript259	32.703	11.3365	5.10462	123.477	2537.16	26.566	29.4804	4.52091
SIG1	transcript260	26.566	91.0759	15.6777	29.4804	7666.33	40.2064	111.575	226.497
SIG1	transcript261	67.1087	82.2718	1.02085	0.222631	9.09013	17.4409	0.351895	339.068
SIG1	transcript262	339.068	2074.98	19.3906	32.703	204.744	620.515	204.744	204.744
SIG1	transcript263	4194.25	12672.1	1534.61	1026.28	1696.97	3102.24	14012	21.5465
SIG1	transcript264	11.3365	19.3906	3.99302	9.09013	4.52091	414.778	6.46369	12.6408
SIG1	transcript265	250.549	686.226	136.637	19.3906	100.811	74.3096	1.02085	49.3802
SIG1	transcript266	0.652869	29.4804	1026.28	1876.49	5128.24	2074.98	277.144	339.068
SIG1	transcript267	277.144	136.637	8.12534	0.222631	6.46369	250.549	28317.1	1696.97
SIG1	transcript268	758.884	277.144	472279	104588	77363.4	115645	7666.33	1026.28
SIG1	transcript269	3.08383	1.02085	5.75004	0	1.47075	2.3402	23.9302	277.144
SIG1	transcript270	82.2718	82.2718	11460.3	3430.33	507.343	1387.78	32.703	100.811
SIG1	transcript271	8.12534	32.703	11460.3	11460.3	115645	1696.97	7666.33	5128.24
SIG1	transcript272	3793.11	4194.25	23160.6	10364.4	3793.11	686.226	91.0759	1254.99
SIG1	transcript273	5128.24	8476.97	758.884	758.884	686.226	38282.1	6270.17	15.6777
SIG1	transcript274	44.563	23.9302	49.3802	123.477	123.477	12672.1	0.827621	1.47075
SIG1	transcript275	54.7067	339.068	111.575	686.226	82.2718	74.3096	12672.1	17.4409
SIG1	transcript276	1134.89	686.226	100.811	620.515	686.226	1134.89	5128.24	620.515
SIG1	transcript277	17131.7	1876.49	306.552	167.28	507.343	111.575	204.744	29.4804
SIG1	transcript278	21.5465	60.5964	561.088	2074.98	758.884	1254.99	1026.28	40.2064
SIG1	transcript279	8476.97	63275.9	2805.51	3793.11	1254.99	375.022	3430.33	111.575
SIG1	transcript280	375.022	686.226	9.09013	9.09013	21.5465	0	5.75004	1.73198
SIG1	transcript281	277.144	111.575	2.3402	2.69335	7.2528	54.7067	0.105726	1.47075
SIG1	transcript282	54.7067	14.083	6.46369	5.10462	3.5156	0.351895	5.75004	4.52091
SIG1	transcript283	839.224	3102.24	8476.97	4637.8	54.7067	49.3802	44.563	21.5465
SIG1	transcript284	127872	11460.3	226.497	67.1087	839.224	1876.49	2294.47	69966
SIG1	transcript285	2537.16	4194.25	1254.99	1387.78	758.884	2294.47	577423	375.022
SIG1	transcript286	111.575	185.071	60.5964	250.549	40.2064	6270.17	2537.16	5.10462
SIG1	transcript287	1876.49	185.071	60.5964	10.1569	167.28	686.226	94587.1	620.515
SIG1	transcript288	1696.97	2294.47	18943.1	34621.6	14012	14012	686.226	375.022
SIG1	transcript289	185.071	2537.16	11.3365	74.3096	12.6408	67.1087	167.28	123.477
SIG1	transcript290	0.351895	0	0.652869	0.494826	4.52091	0.652869	44.563	3.99302
