DESC	FID	SAMPLETYPE	human	chimp	orang	baboon	macaque	gibbon	horse	cat	marmoset	cow	mouse	rat
L10	simfam40	Brain	57.3193	46.8976	70.3465	13.0271	23.4488	57.3193	26.0542	112.033	93.7953	88.5844	216.25	187.591
L10	simfam41	Brain	59.9218	70.343	39.0794	70.343	39.0794	23.4477	158.923	182.371	23.4477	104.212	224.055	187.581
L10	simfam42	Brain	15.6327	46.898	5.21089	52.1089	78.1634	0	148.51	28.6599	54.7144	46.898	104.218	57.3198
L10	simfam43	Brain	192.794	203.215	164.135	125.056	112.029	234.479	192.794	125.056	132.872	200.61	104.213	260.532
L10	simfam44	Brain	31.2657	18.2384	59.926	158.934	158.934	39.0822	18.2384	10.4219	28.6603	125.063	85.9808	101.614
L10	simfam45	Brain	75.5587	75.5587	109.43	5.21094	33.8711	5.21094	101.613	18.2383	75.5587	18.2383	5.21094	57.3204
L10	simfam46	Brain	15.6323	18.2377	109.426	52.1076	20.843	83.3722	184.982	44.2915	31.2646	54.713	49.5022	153.717
L10	simfam47	Brain	46.8974	93.7949	31.265	59.9245	36.4758	54.7137	130.271	57.3191	127.665	96.4003	31.265	2.60541
L10	simfam48	Brain	190.197	182.381	72.9522	96.4011	101.612	156.326	7.81631	93.7957	132.877	57.3196	122.455	138.088
L10	simfam49	Brain	46.8984	39.082	44.2929	31.2656	57.3203	20.8437	70.3476	59.9257	39.082	70.3476	41.6875	140.695
L10	simfam50	Brain	33.8692	57.3171	62.5277	2.60532	70.3437	75.5543	75.5543	104.213	96.3969	20.8426	250.111	112.029
L10	simfam51	Brain	127.671	104.221	33.8719	88.5881	119.854	23.4498	39.083	49.5051	31.2664	54.7162	33.8719	59.9272
L10	simfam52	Brain	130.271	151.115	106.822	78.1627	99.0061	78.1627	49.5031	2.60542	156.325	119.85	166.747	99.0061
L10	simfam53	Brain	109.428	78.1626	135.482	23.4488	7.81626	130.271	106.822	99.0059	93.7951	44.2921	239.699	5.21084
L10	simfam54	Brain	2.60533	23.448	26.0533	2.60533	2.60533	10.4213	75.5546	130.267	88.5813	229.269	117.24	33.8693
L10	simfam55	Brain	2.60566	15.6339	10.4226	145.917	127.677	2.60566	54.7188	169.368	119.86	185.002	88.5924	18.2396
L10	simfam56	Brain	112.028	99.0019	198.004	132.871	140.687	153.713	211.03	67.7381	192.793	127.66	65.1328	15.6319
L10	simfam57	Brain	7.81609	15.6322	65.1341	18.2375	0	7.81609	174.559	59.9234	93.7931	205.824	18.2375	114.636
L10	simfam58	Brain	5.21063	54.7116	18.2372	5.21063	0	13.0266	96.3966	23.4478	41.685	39.0797	203.214	156.319
L10	simfam59	Brain	85.9751	62.5274	62.5274	67.738	72.9486	36.4743	26.0531	78.1592	99.0017	85.9751	41.6849	88.5804
L10	simfam60	Brain	70.3447	75.5554	164.138	93.7929	169.348	99.0036	10.4214	18.2375	78.1608	59.9232	138.084	83.3715
L10	simfam61	Brain	148.509	148.509	104.217	200.617	198.012	135.482	52.1084	106.822	242.304	93.7952	31.2651	57.3193
L10	simfam62	Brain	88.5839	104.216	88.5839	91.1893	46.8974	44.2919	99.0055	112.033	36.4757	122.454	278.779	278.779
L10	simfam63	Brain	104.219	119.851	41.6875	67.7421	31.2656	52.1093	117.246	54.7148	106.824	2.60547	41.6875	36.4765
L10	simfam64	Brain	135.491	122.463	99.0126	96.407	33.8727	106.829	44.2951	65.1399	158.941	91.1958	20.8448	54.7175
L10	simfam65	Brain	93.7909	91.1856	75.5538	26.053	78.1591	70.3432	49.5007	2.6053	169.345	132.87	148.502	44.2901
L10	simfam66	Brain	200.642	195.431	179.796	127.681	122.47	85.9894	211.065	148.527	117.258	70.355	143.316	138.104
L10	simfam67	Brain	52.1142	36.48	59.9314	15.6343	41.6914	93.8056	221.485	75.5656	15.6343	52.1142	158.948	135.497
L10	simfam68	Brain	158.932	174.564	78.1632	26.0544	28.6598	54.7142	83.3741	57.3197	70.3469	62.5305	101.612	171.959
L10	simfam69	Brain	179.765	135.475	119.844	135.475	166.739	75.5536	171.95	28.6583	101.607	192.792	99.0013	122.449
L10	simfam70	Brain	171.953	161.532	138.083	153.715	143.294	101.609	23.4481	125.057	99.0032	96.3978	91.1871	33.8695
L10	simfam71	Brain	184.976	247.503	229.266	177.16	203.213	187.581	91.1854	31.2636	268.346	367.347	31.2636	143.291
L10	simfam72	Brain	13.0275	36.4769	46.8989	23.4494	20.844	28.6604	49.5044	114.642	52.1099	166.752	135.486	59.9264
L10	simfam73	Brain	190.191	148.506	161.532	132.873	143.295	198.007	39.0804	104.214	130.268	54.7126	153.716	192.797
L10	simfam74	Brain	161.531	106.819	117.241	213.638	229.271	104.214	117.241	96.3978	106.819	10.4214	192.796	122.451
L10	simfam75	Brain	78.1617	2.60539	10.4216	52.1078	52.1078	46.897	44.2916	26.0539	28.6593	164.14	33.8701	112.032
L10	simfam76	Brain	156.322	153.717	112.031	83.3719	91.1881	216.246	78.1612	143.296	13.0269	13.0269	59.9236	33.8699
L10	simfam77	Brain	0	18.2372	31.2638	93.7913	85.9754	7.81594	75.5541	15.6319	72.9488	31.2638	52.1063	36.4744
L10	simfam78	Brain	52.1062	41.685	26.0531	23.4478	36.4743	18.2372	62.5275	91.1859	143.292	10.4212	148.503	99.0018
L10	simfam79	Brain	216.269	145.917	179.79	143.311	127.677	140.705	0	93.8036	294.439	198.03	140.705	62.5357
L10	simfam80	Brain	65.1326	41.6849	33.869	28.6583	5.21061	70.3432	18.2371	7.81591	2.6053	46.8955	88.5804	28.6583
L10	simfam81	Brain	5.21083	13.0271	44.2921	145.903	106.822	36.4758	208.433	166.747	83.3733	143.298	31.265	49.5029
L10	simfam82	Brain	72.9493	65.1333	70.344	78.16	106.819	57.3173	151.109	171.952	28.6586	130.267	28.6586	72.9493
L10	simfam83	Brain	26.0536	5.21072	31.2643	52.1072	78.1608	28.659	67.7394	23.4483	78.1608	39.0804	59.9233	57.3179
L10	simfam84	Brain	114.637	119.848	145.902	114.637	33.8701	143.296	13.0269	33.8701	96.3994	156.323	151.113	65.1347
L10	simfam85	Brain	158.961	151.144	72.9659	62.5422	62.5422	138.114	96.4192	237.139	67.754	46.9066	57.3303	49.5126
L10	simfam86	Brain	80.7669	93.7938	54.7131	2.60538	26.0538	23.4485	101.61	44.2915	143.296	59.9238	41.6862	75.5562
L10	simfam87	Brain	221.479	281.408	213.662	239.718	190.211	244.929	46.9013	127.676	190.211	0	65.1407	5.21126
L10	simfam88	Brain	114.648	114.648	67.7464	140.704	138.098	158.943	33.8732	57.3239	127.676	96.4083	13.0281	112.042
L10	simfam89	Brain	158.925	171.951	67.7383	0	2.60532	72.949	46.8958	138.082	127.661	15.6319	7.81596	135.477
L10	simfam90	Brain	57.3166	54.7113	91.1855	59.9219	54.7113	72.9484	41.6848	15.6318	65.1325	18.2371	104.212	26.053
L10	simfam91	Brain	59.9244	20.8433	114.638	65.1352	75.5568	36.4757	18.2378	234.487	28.6595	99.0055	169.351	57.319
L10	simfam92	Brain	75.5566	70.3458	65.135	0	44.2918	138.086	52.108	75.5566	41.6864	78.1621	15.6324	39.081
L10	simfam93	Brain	41.6849	20.8425	93.7911	67.738	96.3964	91.1857	15.6318	148.502	96.3964	96.3964	158.924	148.502
L10	simfam94	Brain	7.81606	2.60535	23.4482	148.505	101.609	7.81606	83.3713	2.60535	96.3981	85.9767	83.3713	88.582
L10	simfam95	Brain	41.6886	2.60554	10.4222	18.2388	33.872	18.2388	75.5606	52.1108	106.827	179.782	252.737	252.737
L10	simfam96	Brain	13.0266	0	18.2372	18.2372	62.5277	31.2638	171.951	70.3436	41.6851	65.133	138.082	0
L10	simfam97	Brain	0	0	0	75.5577	49.5033	23.4489	99.0067	190.197	59.9251	104.218	117.245	49.5033
L10	simfam98	Brain	125.058	85.9776	85.9776	104.215	119.848	138.085	10.4215	80.7668	211.036	28.6592	156.323	46.8969
L10	simfam99	Brain	85.9778	70.3455	91.1886	127.664	151.112	65.1347	221.458	33.87	117.242	75.5562	36.4754	59.9239
L10	simfam100	Brain	7.81593	18.2372	0	28.6584	2.60531	80.7646	203.214	205.819	33.869	132.871	307.426	359.533
L10	simfam101	Brain	54.7287	67.7594	75.5777	15.6368	5.21226	91.2145	75.5777	70.3655	10.4245	91.2145	36.4858	0
L10	simfam102	Brain	57.3204	117.246	65.1369	26.0547	49.504	104.219	10.4219	2.60547	49.504	26.0547	26.0547	109.43
L10	simfam103	Brain	44.2909	83.3711	122.451	65.1337	85.9764	117.241	203.217	44.2909	62.5283	59.923	119.846	250.113
L10	simfam104	Brain	119.846	153.715	122.451	13.0267	5.21069	46.8962	75.555	39.0802	72.9497	143.294	13.0267	72.9497
L10	simfam105	Brain	57.3195	85.9793	122.455	109.428	101.612	83.3739	164.142	49.5032	130.272	213.646	31.2652	26.0543
L10	simfam106	Brain	28.6695	46.9138	72.977	7.81897	5.21264	57.3391	101.647	83.4023	158.986	46.9138	5.21264	57.3391
L10	simfam107	Brain	33.8695	0	7.81603	109.424	23.4481	75.555	221.454	13.0267	52.1069	52.1069	91.187	62.5282
L10	simfam108	Brain	130.267	130.267	112.029	88.5814	112.029	179.768	2.60534	23.448	184.979	44.2907	52.1067	59.9227
L10	simfam109	Brain	49.5024	7.81618	20.8431	93.7941	80.7672	101.61	208.431	177.167	7.81618	221.458	226.669	304.831
L10	simfam110	Brain	13.0292	46.9052	85.9929	57.3286	91.2046	36.4818	179.803	33.876	83.3871	130.292	5.21169	104.234
L10	simfam111	Brain	59.9254	106.824	54.7145	15.6327	36.4763	127.667	57.3199	23.4491	52.109	15.6327	13.0273	70.3472
L10	simfam112	Brain	96.4013	130.272	140.694	171.959	166.748	65.136	49.5034	67.7415	0	153.721	229.279	257.939
L10	simfam113	Brain	39.0795	26.053	91.1855	2.6053	13.0265	85.9749	39.0795	15.6318	5.2106	65.1325	88.5802	190.187
L10	simfam114	Brain	153.713	205.819	187.582	169.345	143.292	143.292	341.295	99.0016	169.345	255.32	52.1061	49.5008
L10	simfam115	Brain	80.7654	75.5548	31.264	130.267	67.7388	0	83.3708	140.688	85.9761	83.3708	26.0534	67.7388
L10	simfam116	Brain	151.117	158.933	130.273	106.824	91.1913	218.859	20.8437	52.1093	184.988	2.60547	244.914	114.641
L10	simfam117	Brain	67.7439	127.671	59.9273	36.4775	5.21107	44.2941	52.1107	174.571	85.9827	85.9827	164.149	54.7162
L10	simfam118	Brain	26.0545	0	2.60545	44.2926	52.1089	0	57.3198	187.592	7.81634	184.987	106.823	145.905
L10	simfam119	Brain	18.2375	23.4482	2.60536	46.8964	44.2911	18.2375	78.1607	15.6321	2.60536	7.81607	33.8697	39.0804
L10	simfam120	Brain	109.428	57.3195	148.51	49.5032	23.4489	59.9249	132.877	72.9521	112.034	18.238	78.1629	117.244
L10	simfam121	Brain	203.221	169.351	198.01	44.2917	65.1348	156.324	31.2647	52.1079	135.48	80.7672	96.3995	70.3456
L10	simfam122	Brain	44.2917	26.054	57.3187	18.2378	26.054	31.2648	49.5025	164.14	59.9241	67.7403	338.702	132.875
L10	simfam123	Brain	36.4748	31.2641	46.8962	5.21069	5.21069	23.4481	96.3978	122.451	88.5817	67.739	104.214	5.21069
L10	simfam124	Brain	67.7405	67.7405	57.3188	151.113	132.876	83.3729	2.6054	91.1891	148.508	2.6054	106.821	166.746
L10	simfam125	Brain	57.3166	88.5801	0	31.2636	23.4477	44.2901	218.845	72.9484	83.3695	169.344	114.633	75.5537
L10	simfam126	Brain	15.6362	20.8482	59.9387	36.4844	62.5447	70.3628	99.0291	7.81809	130.301	59.9387	0	33.8784
L10	simfam127	Brain	91.1887	132.875	49.5024	161.534	148.507	125.059	213.642	72.951	13.027	78.1618	237.091	161.534
L10	simfam128	Brain	75.5574	36.476	158.931	99.0062	85.9791	158.931	65.1357	54.714	31.2651	65.1357	20.8434	239.699
L10	simfam129	Brain	33.8697	15.6322	7.81609	57.318	23.4483	78.1609	5.21073	41.6858	78.1609	59.9233	96.3984	15.6322
L10	simfam130	Brain	85.9947	67.7534	18.2413	28.6649	49.5121	75.5711	145.93	80.7829	28.6649	10.4236	62.5416	109.448
L10	simfam131	Brain	166.74	109.423	54.7116	41.685	20.8425	104.213	28.6584	0	2.60531	171.951	67.7381	33.8691
L10	simfam132	Brain	117.242	62.5293	57.3185	59.9239	65.1347	7.81616	13.0269	33.87	65.1347	10.4216	54.7131	0
L10	simfam133	Brain	59.9232	80.7661	101.609	231.877	226.666	114.636	10.4214	70.3446	190.191	59.9232	91.1875	190.191
L10	simfam134	Brain	7.81625	31.265	26.0542	67.7408	0	23.4487	18.2379	10.4217	135.482	28.6596	122.455	184.985
L10	simfam135	Brain	114.634	112.029	112.029	218.847	177.162	65.133	158.924	54.7117	132.871	5.21064	93.7915	164.135
L10	simfam136	Brain	93.7919	67.7386	59.9226	10.4213	13.0267	104.213	54.7119	62.5279	5.21066	130.267	72.9492	41.6853
L10	simfam137	Brain	164.134	88.5802	153.713	23.4477	5.2106	75.5537	161.529	138.081	166.739	83.3696	174.555	104.212
L10	simfam138	Brain	148.512	166.75	148.512	10.4219	10.4219	91.1916	104.219	59.9259	0	67.7424	145.907	164.145
L10	simfam139	Brain	2.60532	28.6585	26.0532	75.5544	44.2905	5.21065	39.0798	31.2639	15.6319	78.1597	171.951	75.5544
L10	simfam140	Brain	10.4212	10.4212	31.2637	13.0266	33.869	23.4478	10.4212	20.8425	114.634	46.8956	2.60531	143.292
L10	simfam141	Brain	20.8437	62.531	44.2928	135.484	112.035	49.5037	130.273	195.41	41.6874	0	28.6601	5.21092
L10	simfam142	Brain	114.635	96.3977	10.4214	59.9229	88.5817	39.0801	52.1069	247.508	140.689	67.7389	72.9496	46.8962
L10	simfam143	Brain	72.9483	5.21059	7.81589	85.9748	62.5271	62.5271	13.0265	85.9748	36.4742	0	96.396	62.5271
L10	simfam144	Brain	36.4752	15.6322	5.21074	72.9504	7.81612	10.4215	122.452	44.2913	130.269	80.7665	70.345	28.6591
L10	simfam145	Brain	130.288	119.865	80.7787	85.9902	54.7211	148.529	39.0865	265.788	179.798	145.923	0	59.9326
L10	simfam146	Brain	237.082	218.845	239.687	234.477	198.003	218.845	226.661	44.29	190.187	41.6847	41.6847	46.8953
L10	simfam147	Brain	2.60532	10.4213	54.7118	18.2373	18.2373	23.4479	148.503	72.949	20.8426	49.5011	26.0532	46.8958
L10	simfam148	Brain	28.6587	33.8693	57.3173	36.4747	5.21067	2.60533	161.531	20.8427	2.60533	158.925	226.664	257.928
L10	simfam149	Brain	44.2904	49.501	112.029	41.6851	15.6319	119.845	0	41.6851	221.452	52.1063	104.213	23.4478
L10	simfam150	Brain	192.811	250.133	151.122	229.289	195.417	143.306	99.0111	26.0556	31.2667	91.1944	0	104.222
L10	simfam151	Brain	23.4479	2.60532	10.4213	5.21064	5.21064	26.0532	23.4479	91.1861	52.1064	91.1861	158.924	80.7649
L10	simfam152	Brain	153.715	130.267	127.662	130.267	143.294	101.608	44.2908	23.448	166.742	18.2374	171.952	179.768
L10	simfam153	Brain	122.45	109.423	161.53	101.607	151.108	109.423	7.81595	49.501	106.818	221.452	23.4479	143.292
L10	simfam154	Brain	13.0268	44.291	88.582	72.9499	67.7392	0	208.428	49.5017	52.1071	52.1071	23.4482	187.585
L10	simfam155	Brain	221.45	221.45	208.424	174.555	151.107	166.739	114.633	0	205.819	49.5007	104.212	57.3166
L10	simfam156	Brain	23.4479	2.60532	7.81596	39.0798	67.7383	39.0798	177.162	62.5277	26.0532	127.661	59.9223	20.8426
L10	simfam157	Brain	140.687	96.3965	106.818	161.529	130.266	130.266	0	88.5806	218.846	93.7912	127.66	127.66
L10	simfam158	Brain	70.3437	49.5011	85.9757	46.8958	70.3437	49.5011	44.2905	104.213	99.0023	65.1331	65.1331	26.0532
L10	simfam159	Brain	156.32	158.925	198.005	213.637	143.293	174.557	78.1598	52.1065	101.608	2.60533	80.7651	78.1598
L10	simfam160	Brain	247.517	237.095	231.884	145.905	99.0067	286.598	130.272	59.9251	213.646	96.4013	125.061	54.7142
L10	simfam161	Brain	2.6053	5.21059	52.1059	0	33.8689	2.6053	15.6318	39.0795	20.8424	2.6053	10.4212	28.6583
L10	simfam162	Brain	83.3758	117.247	62.5318	80.7703	83.3758	78.1648	166.752	85.9812	140.697	140.697	221.467	140.697
L10	simfam163	Brain	177.162	203.215	192.794	140.687	174.557	216.242	54.7118	101.608	91.1863	13.0266	93.7917	78.1597
L10	simfam164	Brain	23.4482	78.1607	75.5553	85.9768	75.5553	112.03	218.85	52.1071	218.85	226.666	78.1607	80.7661
L10	simfam165	Brain	93.7909	93.7909	78.1591	127.66	130.265	125.055	192.792	161.529	145.897	93.7909	101.607	91.1856
L10	simfam166	Brain	57.3175	96.3976	57.3175	0	23.4481	72.9495	20.8427	39.0801	15.632	99.0029	158.926	15.632
L10	simfam167	Brain	179.771	250.117	349.121	265.749	224.063	276.171	83.3723	46.8969	247.511	101.61	151.112	54.7131
L10	simfam168	Brain	10.4217	5.21086	54.7141	114.639	59.9249	18.238	140.693	88.5847	33.8706	65.1358	59.9249	127.666
L10	simfam169	Brain	49.5022	49.5022	49.5022	52.1075	31.2645	23.4484	72.9506	96.399	125.058	192.798	44.2914	41.686
L10	simfam170	Brain	20.8425	26.0531	36.4743	93.7912	122.45	36.4743	44.2903	62.5274	31.2637	119.844	39.0796	33.869
L10	simfam171	Brain	26.0534	33.8694	83.3708	52.1067	31.264	2.60534	127.661	88.5814	54.7121	2.60534	148.504	13.0267
L10	simfam172	Brain	234.507	174.577	185	148.521	171.972	109.437	132.887	138.099	171.972	23.4507	20.8451	54.7183
L10	simfam173	Brain	33.8708	10.4218	5.21089	7.81633	7.81633	0	2.60544	80.7687	148.51	57.3197	75.5578	91.1905
L10	simfam174	Brain	36.4743	39.0796	31.2637	46.8955	52.1061	20.8424	10.4212	156.318	85.9751	36.4743	166.74	184.977
L10	simfam175	Brain	28.659	31.2643	39.0804	101.609	91.1876	36.475	62.5286	62.5286	7.81608	5.21072	54.7126	0
L10	simfam176	Brain	31.265	65.1355	54.7138	36.4759	26.0542	49.5029	114.638	224.066	15.6325	57.3192	44.2921	62.53
L10	simfam177	Brain	151.108	119.845	44.2904	143.293	151.108	109.423	252.716	229.268	10.4213	93.7915	135.477	93.7915
L10	simfam178	Brain	67.7431	59.9266	36.4771	70.3487	93.7982	132.881	224.073	44.2936	151.119	112.037	119.853	78.1652
L10	simfam179	Brain	156.32	192.795	130.267	67.7387	99.0027	135.477	5.21067	208.427	26.0534	125.056	117.24	18.2373
L10	simfam180	Brain	15.6324	28.6594	52.108	88.5836	135.481	18.2378	182.378	83.3728	28.6594	67.7404	104.216	36.4756
L10	simfam181	Brain	15.6338	23.4508	49.5072	41.6902	54.7184	7.81692	67.7466	23.4508	52.1128	117.254	104.226	171.972
L10	simfam182	Brain	143.306	83.3782	127.673	67.7448	93.8005	104.223	36.478	328.302	211.051	294.429	182.39	148.517
L10	simfam183	Brain	39.0813	44.2921	28.6596	15.6325	18.2379	2.60542	171.958	200.617	10.4217	62.5301	49.503	7.81626
L10	simfam184	Brain	88.5814	99.0027	104.213	18.2373	7.81601	135.477	23.448	7.81601	57.3174	39.08	80.7654	70.3441
L10	simfam185	Brain	148.504	203.216	218.848	153.715	104.214	174.558	122.451	161.531	135.478	226.664	70.3441	125.056
L10	simfam186	Brain	0	7.8167	13.0278	20.8445	36.4779	10.4223	26.0557	10.4223	104.223	187.601	54.7169	2.60557
L10	simfam187	Brain	109.426	88.5832	190.193	10.4216	0	65.1347	78.1617	99.0048	5.21078	10.4216	62.5294	125.059
L10	simfam188	Brain	13.0269	5.21077	10.4215	18.2377	15.6323	52.1077	0	0	46.897	46.897	93.7939	148.507
L10	simfam189	Brain	145.898	122.45	156.319	67.7382	80.7648	145.898	13.0266	13.0266	132.871	33.8691	46.8957	158.924
L10	simfam190	Brain	109.422	132.87	198.003	203.213	184.976	138.081	122.449	117.238	161.528	62.5271	96.396	49.5007
L10	simfam191	Brain	26.0538	59.9238	93.7938	33.87	39.0808	39.0808	52.1077	2.60538	75.5561	33.87	26.0538	33.87
L10	simfam192	Brain	122.45	117.239	44.2903	158.924	148.503	112.028	148.503	85.9752	62.5274	140.687	44.2903	52.1062
L10	simfam193	Brain	156.321	224.06	268.351	130.267	114.635	239.692	31.2642	85.9764	263.14	57.3176	171.953	18.2374
L10	simfam194	Brain	211.038	203.222	203.222	231.881	195.405	198.011	46.8973	23.4487	229.276	33.8703	65.1351	41.6865
L10	simfam195	Brain	135.477	177.163	153.715	213.637	208.427	151.109	57.3174	174.557	106.819	78.16	67.7387	5.21067
L10	simfam196	Brain	85.9774	85.9774	117.242	151.112	130.269	119.847	130.269	252.721	117.242	221.457	65.1344	2.60538
L10	simfam197	Brain	26.0536	33.8697	0	49.5018	70.3447	67.7394	122.452	145.9	65.134	10.4214	31.2643	49.5018
L10	simfam198	Brain	54.7137	78.1624	57.3191	59.9245	93.7948	67.7407	257.936	143.298	39.0812	112.033	65.1353	0
L10	simfam199	Brain	20.8431	20.8431	33.8701	57.3187	80.7672	36.4755	101.61	2.60539	93.7942	7.81618	5.21079	18.2378
L10	simfam200	Brain	156.327	101.612	70.347	140.694	158.932	96.4014	211.041	88.585	229.279	166.748	151.116	88.585
L10	simfam201	Brain	70.343	36.4742	33.8689	10.4212	65.1324	2.6053	91.1854	13.0265	5.21059	151.107	72.9483	78.1589
L10	simfam202	Brain	145.913	166.758	148.519	109.435	83.379	132.885	297.038	138.096	46.9007	31.2671	41.6895	54.7174
L10	simfam203	Brain	190.209	177.181	229.293	239.716	224.082	169.364	96.4074	10.4224	284.011	145.914	44.2953	23.4505
L10	simfam204	Brain	62.5287	88.5823	114.636	39.0804	83.3716	13.0268	114.636	0	2.60536	203.218	0	112.031
L10	simfam205	Brain	26.054	15.6324	10.4216	39.081	65.1351	7.81621	65.1351	49.5026	10.4216	122.454	18.2378	0
L10	simfam206	Brain	0	0	0	75.5555	39.0804	20.8429	171.954	49.5019	28.659	151.111	91.1877	49.5019
L10	simfam207	Brain	145.898	114.634	91.186	200.609	156.319	104.213	52.1063	114.634	156.319	65.1328	7.81594	13.0266
L10	simfam208	Brain	62.5404	31.2702	23.4526	13.0292	13.0292	13.0292	10.4234	91.2047	2.60585	13.0292	119.869	52.117
