DESC	FID	human	chimp	orang	baboon	macaque	gibbon	horse	cat	marmoset	cow	mouse	rat
L10	transcript19	5.21069	7.81603	2.60534	26.0534	7.81603	15.6321	0	104.214	46.8962	31.2641	83.371	114.635
L10	transcript20	145.897	138.081	135.476	200.609	187.582	164.134	151.108	57.3168	39.0796	195.398	49.5009	54.7115
L10	transcript21	23.45	41.6888	36.4777	31.2666	44.2944	67.7443	46.8999	101.616	83.3776	36.4777	101.616	70.3499
L10	transcript22	117.257	75.5658	138.103	75.5658	91.2001	117.257	44.2972	104.229	96.4115	200.64	85.9886	135.497
L10	transcript23	31.2637	28.6584	46.8956	0	2.60531	101.607	119.844	75.554	184.977	23.4478	7.81593	2.60531
L10	transcript24	85.9825	106.827	93.7991	161.543	179.782	78.1659	15.6332	67.7438	179.782	166.754	135.488	166.754
L10	transcript25	132.886	135.492	83.3795	161.548	143.309	78.1683	88.5908	31.2673	104.224	49.5066	13.0281	106.83
L10	transcript26	72.9534	36.4767	13.0274	2.60548	13.0274	20.8438	138.09	18.2384	41.6877	83.3754	166.751	106.825
L10	transcript27	101.607	122.45	72.9489	91.1862	117.239	96.3968	145.898	36.4745	52.1064	28.6585	23.4479	0
L10	transcript28	72.9496	54.7122	83.371	70.3443	67.739	75.555	26.0534	26.0534	59.9229	54.7122	44.2909	46.8962
L10	transcript29	54.7128	46.8967	91.1881	112.031	106.82	104.215	20.843	33.8699	130.269	7.81612	148.506	148.506
L10	transcript30	239.7	260.543	260.543	255.332	239.7	346.522	33.8706	132.877	174.564	26.0543	138.088	132.877
L10	transcript31	7.81592	7.81592	26.0531	52.1062	67.738	10.4212	44.2902	138.081	91.1858	83.3698	158.924	234.478
L10	transcript32	117.248	130.275	112.037	93.7982	117.248	101.615	148.514	80.7706	153.725	67.7431	52.1101	148.514
L10	transcript33	213.65	226.678	132.88	174.568	226.678	190.201	91.1921	93.7976	125.064	44.2933	20.8439	49.5043
L10	transcript34	44.2906	10.4213	18.2373	46.8959	52.1066	28.6586	117.24	10.4213	88.5812	31.264	83.3706	174.557
L10	transcript35	177.162	143.293	130.266	96.3968	75.5543	174.556	26.0532	208.426	229.268	104.213	156.319	242.295
L10	transcript36	117.239	138.082	101.607	39.0798	83.3701	145.898	93.7914	20.8425	44.2904	49.501	187.583	26.0532
L10	transcript37	0	23.4515	33.8744	106.835	125.075	54.7202	62.5373	36.4801	2.60572	205.852	13.0286	119.863
L10	transcript38	145.902	184.983	190.194	26.054	72.9511	156.324	268.356	171.956	78.1619	104.216	13.027	59.9241
L10	transcript39	80.7746	20.8451	80.7746	31.2676	7.81689	57.3239	65.1408	39.0845	119.859	158.944	99.014	78.1689
L10	transcript40	179.767	187.583	203.215	148.503	93.7916	252.716	99.0022	101.608	216.242	41.6851	13.0266	41.6851
L10	transcript41	13.0276	18.2387	28.6608	7.81657	20.8442	46.8994	62.5326	112.038	20.8442	26.0552	18.2387	5.21105
L10	transcript42	5.2106	28.6583	33.8689	26.053	44.2901	80.7644	26.053	88.5803	62.5272	75.5538	143.292	151.108
L10	transcript43	138.085	130.269	109.426	195.404	198.009	161.534	85.9776	151.112	187.587	65.1345	96.3991	33.87
L10	transcript44	52.1066	31.2639	72.9492	54.7119	57.3172	31.2639	23.448	182.373	5.21066	104.213	13.0266	2.60533
L10	transcript45	200.608	198.003	127.66	221.45	205.819	130.265	18.2371	117.238	198.003	96.3961	26.053	229.266
L10	transcript46	169.346	130.267	143.293	132.872	114.635	198.005	57.3173	205.821	101.608	112.029	0	7.81599
L10	transcript47	127.661	138.082	127.661	145.898	143.293	54.7118	198.005	182.373	31.2639	70.3437	65.1331	158.925
L10	transcript48	39.0815	39.0815	57.3196	26.0544	96.4011	26.0544	18.2381	41.687	88.5848	226.673	151.115	67.7413
L10	transcript49	112.028	101.607	75.5538	31.2636	41.6848	65.1326	67.7379	44.2901	117.239	80.7644	101.607	20.8424
L10	transcript50	44.2904	91.1861	104.213	18.2372	54.7117	91.1861	57.317	127.661	52.1063	112.029	234.479	302.217
L10	transcript51	23.4478	13.0265	2.60531	44.2902	46.8956	41.6849	158.924	10.4212	10.4212	99.0017	7.81593	104.212
L10	transcript52	99.0089	72.9539	112.036	65.1374	46.8989	125.064	52.1099	0	65.1374	114.642	174.568	166.752
L10	transcript53	54.7117	26.0532	2.60532	23.4479	54.7117	20.8426	158.925	91.1862	151.109	62.5277	130.266	67.7384
L10	transcript54	7.81591	59.922	39.0795	109.423	112.028	41.6848	78.1591	125.055	18.2371	93.7909	13.0265	65.1326
L10	transcript55	91.1854	78.1589	143.291	156.318	177.16	169.344	62.5272	148.502	205.819	112.028	41.6848	33.8689
L10	transcript56	78.163	70.3467	80.7685	109.428	135.483	171.959	205.829	153.721	109.428	171.959	59.925	0
L10	transcript57	49.5011	59.9224	7.81596	28.6585	33.8692	7.81596	161.53	10.4213	125.055	41.6851	44.2905	28.6585
L10	transcript58	195.407	226.672	99.0063	114.639	117.244	179.775	20.8434	10.4217	44.2923	138.088	36.476	36.476
L10	transcript59	18.2377	0	28.6593	96.3994	143.296	44.2916	44.2916	91.1886	2.60539	99.0048	54.7132	101.61
L10	transcript60	104.214	101.609	75.5554	80.7661	31.2643	52.1072	143.295	70.3447	23.4482	10.4214	106.82	211.034
L10	transcript61	143.297	117.243	96.4	49.5027	28.6594	156.324	36.4757	46.8973	18.2378	59.9243	13.027	143.297
L10	transcript62	57.3179	18.2375	36.475	41.6857	13.0268	13.0268	75.5553	39.0804	28.6589	23.4482	67.7393	5.21071
L10	transcript63	18.2373	23.4479	78.1598	62.5278	101.608	28.6586	221.453	140.688	62.5278	83.3704	33.8692	125.056
L10	transcript64	112.053	119.87	161.564	54.7234	99.0233	143.323	234.529	0	5.21175	127.688	140.717	99.0233
L10	transcript65	7.81605	20.8428	7.81605	2.60535	20.8428	15.6321	54.7123	7.81605	114.635	70.3444	80.7658	72.9498
L10	transcript66	33.8689	46.8953	2.6053	67.7377	67.7377	46.8953	31.2636	67.7377	46.8953	72.9483	190.187	208.424
L10	transcript67	2.60549	33.8714	78.1648	31.2659	33.8714	5.21099	52.1099	59.9264	33.8714	36.4769	151.119	91.1923
L10	transcript68	122.451	187.585	114.635	78.1603	62.5283	85.9764	83.371	151.11	23.4481	54.7122	62.5283	174.558
L10	transcript69	83.3696	67.7378	112.028	49.5007	23.4477	65.1325	7.8159	93.7908	39.0795	57.3166	226.661	148.502
L10	transcript70	7.81689	26.0563	5.21126	59.9295	130.281	2.60563	67.7464	117.253	41.6901	242.324	198.028	138.098
L10	transcript71	101.612	122.455	140.693	190.196	161.537	192.802	10.4217	156.326	130.272	203.224	57.3195	23.4489
L10	transcript72	0	31.2636	85.975	52.1061	7.81591	28.6583	26.053	44.2902	33.869	31.2636	93.7909	52.1061
L10	transcript73	67.7408	23.4488	59.9246	46.8975	70.3463	33.8704	33.8704	23.4488	104.217	104.217	112.033	2.60542
L10	transcript74	132.87	49.5006	33.8689	138.081	88.5801	41.6847	101.607	289.188	52.1059	302.214	18.2371	36.4742
L10	transcript75	20.8437	26.0546	26.0546	18.2382	20.8437	80.7693	184.988	135.484	65.1365	106.824	59.9256	39.0819
L10	transcript76	83.3702	130.266	96.3968	10.4213	23.4479	72.9489	78.1596	26.0532	132.871	67.7383	192.794	195.399
L10	transcript77	148.502	135.476	247.504	234.477	247.504	218.845	224.056	190.187	169.345	13.0265	31.2636	114.633
L10	transcript78	101.614	122.458	138.09	177.173	179.778	127.668	0	54.7151	190.2	117.247	127.668	33.8712
L10	transcript79	46.9027	59.9312	70.3541	83.3826	88.594	57.3255	0	33.8742	99.0168	5.21141	190.217	148.525
L10	transcript80	203.223	239.699	161.536	135.482	148.509	156.325	109.428	85.9789	114.639	20.8434	7.81626	49.503
L10	transcript81	62.5339	41.6893	33.8725	7.81674	36.4781	28.6614	26.0558	7.81674	28.6614	83.3785	83.3785	70.3506
L10	transcript82	171.953	138.083	104.214	39.0802	33.8695	184.98	72.9497	158.926	72.9497	78.1604	5.21069	114.635
L10	transcript83	80.7644	88.5803	5.21061	125.055	88.5803	52.1061	20.8424	109.423	18.2371	83.3697	184.977	125.055
L10	transcript84	33.8711	33.8711	20.8438	15.6328	0	10.4219	13.0273	7.81641	52.1094	67.7422	20.8438	72.9531
L10	transcript85	187.604	166.759	106.83	276.195	270.984	106.83	13.0281	41.6898	174.576	5.21123	211.055	101.619
L10	transcript86	18.2371	26.053	7.81589	5.21059	13.0265	83.3695	211.029	49.5006	119.844	145.897	20.8424	26.053
L10	transcript87	54.7113	0	83.3696	41.6848	57.3166	31.2636	208.424	198.003	99.0014	54.7113	88.5802	67.7378
L10	transcript88	239.697	216.248	234.486	182.378	190.194	221.459	62.5296	15.6324	169.351	88.5836	127.665	80.7674
L10	transcript89	132.873	88.5823	216.245	156.322	208.429	138.084	49.5019	166.743	294.406	125.057	10.4214	10.4214
L10	transcript90	78.1591	59.922	52.1061	85.975	83.3697	20.8424	182.371	158.924	169.345	85.975	114.633	104.212
L10	transcript91	7.81589	7.81589	54.7113	7.81589	5.2106	39.0795	57.3166	195.397	41.6848	59.9219	130.265	41.6848
L10	transcript92	148.514	127.67	80.7707	26.0551	67.7432	62.5322	39.0826	57.3212	78.1652	39.0826	158.936	171.963
L10	transcript93	7.81596	20.8426	13.0266	104.213	80.7649	15.6319	140.687	119.845	54.7117	109.423	143.293	140.687
L10	transcript94	143.292	184.977	135.476	75.5538	67.7379	114.633	85.9751	85.9751	49.5008	18.2371	127.66	26.053
L10	transcript95	130.276	143.303	65.1379	104.221	153.725	114.643	132.881	247.524	10.4221	145.909	117.248	132.881
L10	transcript96	67.7382	99.002	130.266	28.6585	5.21063	15.6319	67.7382	26.0532	119.845	119.845	263.137	122.45
L10	transcript97	218.864	138.093	273.58	161.543	208.442	239.709	145.91	112.038	224.075	250.131	218.864	270.975
L10	transcript98	119.848	93.7942	52.1079	153.718	106.821	5.21079	36.4755	145.902	67.7403	39.0809	109.427	7.81618
L10	transcript99	91.1871	59.9229	138.083	125.057	132.873	174.558	130.267	114.635	179.769	33.8695	239.692	231.876
L10	transcript100	75.5572	85.9789	54.7138	101.611	104.217	140.693	57.3192	93.7951	2.60542	257.937	203.223	85.9789
L10	transcript101	78.1735	70.3561	28.6636	18.2405	13.0289	112.049	109.443	75.5677	96.414	83.385	62.5388	39.0867
L10	transcript102	26.0536	7.81607	85.9768	31.2643	31.2643	20.8429	119.846	0	65.134	213.639	138.084	52.1072
L10	transcript103	158.924	213.636	135.476	88.5806	91.1859	96.3966	96.3966	211.03	46.8956	101.607	54.7116	70.3434
L10	transcript104	138.083	148.505	161.531	158.926	140.689	109.424	270.956	323.063	119.846	265.745	13.0267	85.9763
L10	transcript105	15.6323	59.9237	72.9506	23.4484	62.5291	78.1614	26.0538	18.2377	104.215	59.9237	91.1883	130.269
L10	transcript106	218.847	171.951	195.399	104.213	83.3701	192.793	57.317	101.607	54.7117	62.5276	15.6319	93.7914
L10	transcript107	26.0548	28.6603	49.5042	99.0083	80.77	101.614	80.77	143.302	57.3206	138.091	59.9261	62.5316
L10	transcript108	0	41.6854	0	10.4214	7.81602	93.7922	39.0801	49.5014	122.451	0	59.9228	190.19
L10	transcript109	15.633	54.7156	99.0092	75.5597	75.5597	122.459	39.0826	148.514	62.5321	39.0826	166.752	36.4771
L10	transcript110	13.0275	33.8715	18.2385	31.266	41.688	59.9265	80.7705	91.1925	125.064	52.11	83.376	46.899
L10	transcript111	13.0272	18.238	36.476	15.6326	20.8434	23.4489	190.196	62.5303	93.7955	229.278	20.8434	265.754
L10	transcript112	93.7918	59.9225	18.2373	13.0266	46.8959	7.81598	33.8693	148.504	52.1065	75.5545	5.21065	7.81598
L10	transcript113	44.294	18.2387	44.294	33.8719	26.0553	13.0277	101.616	31.2664	46.8996	49.5051	99.0102	125.066
L10	transcript114	20.8483	0	15.6362	15.6362	62.5448	52.1207	143.332	182.422	23.4543	59.9388	67.7569	153.756
L10	transcript115	127.671	135.487	72.9548	72.9548	80.7714	75.5603	41.6885	15.6332	260.553	18.2387	119.854	2.60553
L10	transcript116	72.9483	72.9483	49.5006	104.212	106.817	7.81589	2.6053	221.45	39.0795	96.396	31.2636	114.633
L10	transcript117	44.3078	80.7965	18.2444	57.3394	7.81901	20.8507	179.837	13.0317	101.647	198.082	88.6155	33.8824
L10	transcript118	171.955	101.61	205.825	127.664	138.085	36.4753	65.1345	31.2645	148.507	151.112	10.4215	39.0807
L10	transcript119	125.058	91.1878	106.82	130.268	143.295	211.035	302.222	213.64	85.977	268.353	62.5288	72.9502
L10	transcript120	57.3186	0	33.8701	114.637	83.3726	125.059	28.6593	75.5564	78.1618	70.3456	2.60539	70.3456
L10	transcript121	91.1892	80.7675	88.5838	117.243	101.611	80.7675	10.4216	130.27	36.4757	65.1351	221.459	195.405
L10	transcript122	104.215	106.82	164.139	114.637	78.1613	75.5559	5.21075	75.5559	151.112	33.8699	221.457	364.753
L10	transcript123	57.3167	65.1326	101.607	83.3698	138.081	67.7379	36.4743	221.451	117.239	198.003	67.7379	7.81592
L10	transcript124	13.0269	20.8431	44.2915	7.81615	20.8431	59.9238	44.2915	177.166	127.664	13.0269	184.982	112.031
L10	transcript125	151.11	122.451	44.291	2.60535	23.4482	5.2107	10.4214	41.6856	26.0535	96.398	112.03	57.3177
L10	transcript126	315.248	310.037	250.114	302.221	299.616	211.034	380.382	158.927	78.1606	109.425	23.4482	46.8964
L10	transcript127	57.3184	57.3184	36.4754	0	2.60538	41.6861	83.3723	145.901	85.9776	54.713	106.821	224.063
L10	transcript128	302.224	281.381	283.987	211.036	239.695	218.852	237.09	255.327	158.928	135.48	117.242	169.35
L10	transcript129	127.66	114.633	114.633	122.449	57.3165	114.633	33.8689	41.6847	41.6847	20.8424	377.768	239.687
L10	transcript130	135.484	138.09	192.805	226.676	198.016	109.43	119.852	65.1368	57.3203	112.035	31.2656	62.5313
L10	transcript131	54.7129	33.8699	5.21075	20.843	39.0806	0	44.2914	174.56	62.529	88.5827	156.322	127.663
L10	transcript132	80.783	23.4531	70.3594	49.5121	49.5121	70.3594	57.3298	44.3003	26.059	91.2066	54.7239	109.448
L10	transcript133	101.618	132.885	145.913	164.152	158.941	26.0558	265.769	41.6893	36.4782	158.941	62.534	10.4223
L10	transcript134	257.931	307.432	226.666	190.191	203.218	265.747	104.214	85.9768	195.402	91.1876	80.7661	177.164
L10	transcript135	143.295	200.613	158.927	72.9502	93.7931	216.245	148.506	99.0038	39.0805	179.77	151.111	151.111
L10	transcript136	23.4489	15.6326	59.9251	80.7686	96.4012	62.5305	265.755	46.8979	88.5849	20.8435	80.7686	114.639
L10	transcript137	80.7754	75.5641	54.7188	88.5924	140.706	78.1697	166.762	151.128	44.2962	148.523	80.7754	39.0849
L10	transcript138	36.481	2.60578	15.6347	49.5099	18.2405	5.21157	52.1157	151.135	2.60578	46.9041	5.21157	10.4231
L10	transcript139	244.908	239.697	239.697	158.93	161.535	294.411	2.6054	39.0811	109.427	72.9513	70.3459	52.1081
L10	transcript140	31.2663	39.0828	23.4497	83.3767	57.3215	46.8994	161.542	216.258	41.6884	148.515	174.57	85.9822
L10	transcript141	101.61	125.059	171.955	112.032	119.848	65.1347	0	99.0047	54.7131	158.929	46.897	70.3454
L10	transcript142	7.81608	33.8697	23.4482	10.4214	23.4482	7.81608	125.057	101.609	39.0804	46.8965	52.1072	2.60536
L10	transcript143	26.0557	41.6891	44.2947	85.9838	46.9002	91.1949	44.2947	99.0116	18.239	171.968	23.4501	31.2668
L10	transcript144	49.5056	57.3222	5.21111	57.3222	23.45	39.0833	0	114.644	26.0556	80.7722	164.15	31.2667
L10	transcript145	239.691	234.481	276.166	294.403	281.377	252.718	177.163	169.347	247.507	143.294	239.691	276.166
L10	transcript146	135.476	169.345	216.24	143.292	72.9485	148.502	156.318	93.7909	23.4477	67.7379	41.6848	0
L10	transcript147	132.879	148.512	65.1367	78.164	36.4765	101.613	145.906	117.246	125.062	101.613	41.6875	28.6601
L10	transcript148	52.1061	49.5008	65.1326	46.8955	28.6584	7.81592	83.3698	114.633	78.1592	18.2371	5.21061	182.371
L10	transcript149	143.291	135.475	184.976	148.502	151.107	96.396	158.923	153.713	85.9748	171.95	145.897	218.845
L10	transcript150	36.4751	18.2375	88.5823	57.318	39.0804	117.241	229.272	23.4483	15.6322	96.3984	112.031	26.0536
L10	transcript151	112.044	166.763	75.5643	99.0153	67.7473	166.763	31.268	192.819	91.1983	112.044	10.4227	67.7473
L10	transcript152	289.188	281.372	184.976	182.371	192.792	224.056	7.81589	119.844	151.107	161.528	198.003	369.952
L10	transcript153	33.8699	101.61	130.269	93.7937	54.713	138.085	190.193	114.637	109.426	231.879	13.0269	0
L10	transcript154	192.792	244.898	299.609	106.817	91.1854	182.371	28.6583	218.845	179.765	78.1589	174.555	65.1324
L10	transcript155	15.6323	0	7.81614	106.821	109.426	85.9775	99.0044	247.511	138.085	151.112	109.426	164.139
L10	transcript156	190.195	203.222	174.562	44.2919	106.822	135.481	85.9785	130.27	99.0055	138.087	143.297	93.7947
L10	transcript157	153.714	143.293	65.1331	85.9757	65.1331	62.5278	18.2373	213.637	85.9757	99.0023	67.7384	13.0266
L10	transcript158	104.215	85.9772	125.058	23.4483	41.6859	83.3718	54.7128	184.981	10.4215	75.5557	41.6859	49.502
L10	transcript159	200.619	145.905	166.748	169.354	174.565	192.803	122.456	93.796	96.4014	15.6327	83.3742	101.612
L10	transcript160	15.6321	2.60534	46.8962	23.4481	5.21069	41.6855	44.2909	158.926	140.689	33.8695	59.9229	33.8695
L10	transcript161	5.2107	44.2909	65.1337	57.3176	104.214	72.9497	203.217	237.087	122.451	112.03	67.739	75.5551
L10	transcript162	200.631	187.603	132.885	265.77	289.221	265.77	208.447	114.646	182.391	28.6615	10.4224	99.0125
L10	transcript163	67.7472	52.1132	18.2396	57.3245	62.5359	67.7472	2.60566	88.5925	72.9585	75.5642	49.5076	174.579
L10	transcript164	117.247	148.512	135.485	109.43	88.5864	109.43	161.54	10.4219	145.907	247.521	0	75.559
L10	transcript165	20.8432	0	2.6054	36.4757	54.7135	5.21081	125.059	145.903	26.054	75.5567	72.9513	49.5027
L10	transcript166	286.59	265.747	330.881	281.379	302.222	333.487	328.276	218.851	265.747	273.563	132.874	62.5287
L10	transcript167	96.4004	62.53	41.6866	7.81624	31.265	33.8704	156.325	44.2921	20.8433	67.7408	109.427	65.1354
L10	transcript168	153.726	138.093	184.992	153.726	182.387	122.46	75.5602	179.781	78.1657	161.542	31.2663	65.1381
L10	transcript169	80.7642	15.6318	26.053	130.265	85.9748	85.9748	18.2371	148.502	52.1059	151.107	49.5006	195.397
L10	transcript170	252.742	171.969	153.73	182.391	158.941	184.997	177.18	187.603	250.137	127.674	62.5342	36.4783
L10	transcript171	20.8424	7.81589	36.4742	31.2636	36.4742	52.106	36.4742	67.7378	57.3166	36.4742	59.9219	67.7378
L10	transcript172	67.7384	59.9224	10.4213	67.7384	75.5544	54.7118	85.9757	101.608	18.2373	184.978	72.9491	208.426
L10	transcript173	13.0274	13.0274	91.1915	67.7422	72.9532	31.2657	101.613	67.7422	54.7149	148.512	75.5587	13.0274
L10	transcript174	226.669	205.825	166.745	67.74	101.61	200.615	20.8431	46.8969	20.8431	164.139	127.664	54.7131
L10	transcript175	0	65.1329	10.4213	44.2904	28.6585	13.0266	127.661	13.0266	57.317	78.1595	36.4744	62.5276
L10	transcript176	78.16	109.424	72.9493	85.976	127.661	153.715	13.0267	75.5547	2.60533	203.216	156.32	114.635
L10	transcript177	166.739	138.081	114.633	143.291	138.081	145.897	59.9219	75.5536	132.87	7.81589	36.4742	39.0795
L10	transcript178	83.3725	109.426	85.9779	143.297	203.221	112.032	145.902	195.404	190.194	234.485	23.4485	15.6323
L10	transcript179	88.5813	28.6587	54.712	2.60533	2.60533	41.6853	119.845	93.792	49.5013	5.21066	179.768	224.059
L10	transcript180	15.6319	26.0532	15.6319	93.7916	31.2639	28.6585	13.0266	26.0532	75.5543	5.21064	182.372	46.8958
L10	transcript181	247.51	281.38	247.51	278.775	297.013	226.667	46.8967	99.0042	247.51	229.273	20.843	104.215
L10	transcript182	33.8691	13.0266	0	49.501	41.6851	13.0266	114.634	31.2638	20.8425	41.6851	179.767	169.346
L10	transcript183	99.0169	80.777	83.3827	31.2685	18.24	2.60571	317.896	54.7199	49.5085	203.245	57.3256	70.3541
L10	transcript184	88.5835	52.1079	59.9241	7.81619	5.21079	28.6594	177.167	101.61	10.4216	13.027	192.799	234.486
L10	transcript185	78.161	96.3985	44.2912	72.9502	65.1341	28.659	166.743	57.318	78.161	117.241	23.4483	49.5019
L10	transcript186	106.829	93.8013	2.60559	70.351	44.2951	72.9566	70.351	28.6615	122.463	119.857	88.5902	140.702
L10	transcript187	75.5644	80.7757	18.2397	23.451	5.21134	31.268	23.451	143.312	20.8453	75.5644	106.832	109.438
L10	transcript188	99.0029	112.03	145.899	140.688	140.688	46.8961	15.632	145.899	85.9762	156.32	65.1335	46.8961
L10	transcript189	122.473	148.531	91.2032	59.9335	49.5103	36.4813	119.867	33.8755	7.81742	41.6929	119.867	49.5103
L10	transcript190	72.9523	36.4761	13.0272	75.5577	83.374	28.6598	44.2925	91.1903	119.85	2.60544	62.5305	26.0544
L10	transcript191	10.4215	18.2376	0	106.82	57.3182	72.9505	28.6591	169.349	75.5558	49.5021	135.479	119.847
L10	transcript192	20.8448	26.056	15.6336	31.2672	41.6896	31.2672	57.3233	106.83	20.8448	23.4504	104.224	169.364
L10	transcript193	13.0265	26.053	26.053	83.3697	52.106	57.3166	72.9484	44.2901	36.4742	59.9219	132.87	44.2901
L10	transcript194	5.21068	5.21068	41.6855	57.3175	44.2908	20.8427	161.531	135.478	28.6588	85.9763	78.1603	41.6855
L10	transcript195	101.607	114.634	93.7912	0	36.4744	31.2637	247.505	7.81594	20.8425	70.3434	78.1594	195.398
L10	transcript196	158.925	203.215	205.821	187.583	195.399	179.767	49.5012	5.21065	31.2639	153.714	148.504	132.872
L10	transcript197	23.4523	44.2987	31.2697	88.5974	59.9336	5.21161	54.7219	145.925	49.5103	7.81742	59.9336	140.714
L10	transcript198	65.1326	78.1592	15.6318	153.713	145.897	80.7645	78.1592	28.6584	67.7379	0	91.1857	85.9751
L10	transcript199	117.27	140.723	83.3917	49.5138	39.0899	57.3318	88.6037	221.509	114.664	99.0276	72.9677	161.571
L10	transcript200	18.2468	36.4936	36.4936	114.694	75.5939	41.707	151.188	0	23.4602	109.481	13.0334	104.267
L10	transcript201	41.6856	57.3176	13.0267	10.4214	28.6588	5.21069	2.60535	18.2374	57.3176	171.953	148.505	198.006
L10	transcript202	91.197	44.2957	7.81689	5.21126	7.81689	65.1407	70.352	65.1407	20.845	0	174.577	140.704
L10	transcript203	33.8689	36.4742	41.6848	49.5007	65.1325	44.2901	2.6053	46.8954	114.633	39.0795	28.6583	7.8159
L10	transcript204	59.9316	65.143	151.132	23.4515	52.1144	101.623	49.5087	36.4801	10.4229	164.16	57.3259	2.60572
L10	transcript205	54.7131	49.5023	10.4215	31.2646	33.87	10.4215	20.8431	99.0046	109.426	182.377	23.4485	52.1077
L10	transcript206	221.459	161.535	166.745	276.172	231.88	169.351	18.2378	161.535	2.6054	20.8432	7.81619	49.5025
L10	transcript207	91.1887	78.1618	54.7132	93.7941	54.7132	72.951	23.4485	54.7132	88.5833	200.615	127.664	70.3456
L10	transcript208	20.8424	39.0796	5.21061	39.0796	70.3432	44.2902	72.9485	78.1591	101.607	26.053	65.1326	127.66
L10	transcript209	13.0266	0	46.8959	2.60533	20.8426	31.264	2.60533	106.819	67.7386	78.1599	72.9492	104.213
L10	transcript210	156.336	135.491	187.604	164.153	184.998	208.448	190.209	5.21121	114.647	72.9569	2.6056	143.308
L10	transcript211	106.82	125.058	96.3988	41.686	72.9504	112.031	13.0269	143.295	174.56	36.4752	39.0806	182.376
L10	transcript212	99.0024	26.0533	59.9225	67.7385	7.81598	26.0533	59.9225	33.8692	62.5278	93.7917	15.632	28.6586
L10	transcript213	122.46	122.46	109.432	179.782	179.782	117.249	117.249	140.699	91.1936	2.60553	148.515	122.46
L10	transcript214	62.5281	26.0534	23.4481	23.4481	36.4747	75.5548	15.632	166.742	78.1602	52.1068	156.32	171.952
L10	transcript215	101.619	99.0133	15.6337	54.7179	23.4505	57.3235	5.21123	44.2954	26.0561	91.1965	200.632	5.21123
L10	transcript216	88.5805	99.0017	15.6319	44.2903	62.5274	85.9752	15.6319	179.766	33.869	192.793	234.478	179.766
L10	transcript217	7.81589	2.6053	7.81589	62.5271	85.9748	31.2636	398.61	132.87	28.6583	276.161	171.95	208.424
L10	transcript218	383.01	409.065	323.083	284	268.367	307.45	198.019	59.9267	135.486	250.129	221.468	80.7707
L10	transcript219	7.81593	36.4743	0	62.5275	78.1593	7.81593	114.634	2.60531	99.0018	70.3434	2.60531	54.7115
L10	transcript220	109.423	75.5538	143.292	101.607	101.607	93.7909	127.66	31.2636	174.555	104.212	0	46.8954
L10	transcript221	93.7909	83.3696	75.5537	132.87	125.054	135.476	182.371	7.8159	195.398	104.212	125.054	44.2901
L10	transcript222	46.8969	46.8969	59.9238	85.9777	91.1884	0	96.3992	57.3184	101.61	41.6861	7.81615	182.377
